Date,basin,SWSI
1983-03-01,Rio_Grande,-0.1
1983-03-01,San_Juan,0.2
1983-04-01,Gunnison,2
1983-04-01,Colorado,0.2
1983-04-01,South_Platte,1.3
1983-04-01,Yampa_White_N_Platte,-0.5
1983-04-01,Arkansas,-1.1
1983-04-01,Rio_Grande,1.4
1983-04-01,San_Juan,1.8
1983-05-01,Gunnison,1.8
1983-05-01,Colorado,1.5
1983-05-01,South_Platte,1.6
1983-05-01,Yampa_White_N_Platte,0.3
1983-05-01,Arkansas,0
1983-05-01,Rio_Grande,2
1983-05-01,San_Juan,2
1983-06-01,Gunnison,1.8
1983-06-01,Colorado,-0.5
1983-06-01,South_Platte,2.4
1983-06-01,Yampa_White_N_Platte,-2.2
1983-06-01,Arkansas,0.2
1983-06-01,Rio_Grande,-2.5
1983-06-01,San_Juan,0.5
1983-07-01,Gunnison,3.3
1983-07-01,Colorado,3.1
1983-07-01,South_Platte,3
1983-07-01,Yampa_White_N_Platte,3.5
1983-07-01,Arkansas,3.2
1983-07-01,Rio_Grande,2.4
1983-07-01,San_Juan,2.7
1983-08-01,Gunnison,3
1983-08-01,Colorado,3.8
1983-08-01,South_Platte,3.2
1983-08-01,Yampa_White_N_Platte,4
1983-08-01,Arkansas,3.5
1983-08-01,Rio_Grande,2.5
1983-08-01,San_Juan,3.5
1983-09-01,Gunnison,3.5
1983-09-01,Colorado,4
1983-09-01,South_Platte,3.6
1983-09-01,Yampa_White_N_Platte,3.6
1983-09-01,Arkansas,3.6
1983-09-01,Rio_Grande,1.8
1983-09-01,San_Juan,3.2
1983-10-01,Gunnison,2.3
1983-10-01,Colorado,3.6
1983-10-01,South_Platte,3.4
1983-10-01,Yampa_White_N_Platte,1.4
1983-10-01,Arkansas,1.7
1983-10-01,Rio_Grande,-0.1
1983-10-01,San_Juan,2.9
1983-11-01,Gunnison,2
1983-11-01,Colorado,2.9
1983-11-01,South_Platte,3
1983-11-01,Yampa_White_N_Platte,2.6
1983-11-01,Arkansas,2.3
1983-11-01,Rio_Grande,1.4
1983-11-01,San_Juan,1.5
1983-12-01,Gunnison,2.9
1983-12-01,Colorado,2.8
1983-12-01,South_Platte,3.2
1983-12-01,Yampa_White_N_Platte,3.5
1983-12-01,Arkansas,2.5
1983-12-01,Rio_Grande,1.3
1983-12-01,San_Juan,1.9
1984-01-01,Gunnison,3.9
1984-01-01,Colorado,4
1984-01-01,South_Platte,3.8
1984-01-01,Yampa_White_N_Platte,4.1
1984-01-01,Arkansas,4.1
1984-01-01,Rio_Grande,4.1
1984-01-01,San_Juan,4
1984-02-01,Gunnison,3.5
1984-02-01,Colorado,3.4
1984-02-01,South_Platte,3.5
1984-02-01,Yampa_White_N_Platte,3.7
1984-02-01,Arkansas,2.4
1984-02-01,Rio_Grande,2.6
1984-02-01,San_Juan,2.8
1984-03-01,Gunnison,3.2
1984-03-01,Colorado,2.7
1984-03-01,South_Platte,3.2
1984-03-01,Yampa_White_N_Platte,2.5
1984-03-01,Arkansas,1.8
1984-03-01,Rio_Grande,1.95
1984-03-01,San_Juan,2.4
1984-04-01,Gunnison,2.8
1984-04-01,Colorado,3
1984-04-01,South_Platte,3.3
1984-04-01,Yampa_White_N_Platte,2.7
1984-04-01,Arkansas,2.4
1984-04-01,Rio_Grande,1.5
1984-04-01,San_Juan,2
1984-05-01,Gunnison,2.7
1984-05-01,Colorado,2.7
1984-05-01,South_Platte,3.2
1984-05-01,Yampa_White_N_Platte,3.5
1984-05-01,Arkansas,2.7
1984-05-01,Rio_Grande,1.8
1984-05-01,San_Juan,1.1
1984-06-01,Gunnison,3.4
1984-06-01,Colorado,3.8
1984-06-01,South_Platte,3.1
1984-06-01,Yampa_White_N_Platte,3.5
1984-06-01,Arkansas,3
1984-06-01,Rio_Grande,2.5
1984-06-01,San_Juan,3.5
1984-07-01,Gunnison,3.8
1984-07-01,Colorado,3.5
1984-07-01,South_Platte,3.3
1984-07-01,Yampa_White_N_Platte,3.7
1984-07-01,Arkansas,3.6
1984-07-01,Rio_Grande,1.3
1984-07-01,San_Juan,1.4
1984-08-01,Gunnison,3.6
1984-08-01,Colorado,3.4
1984-08-01,South_Platte,3.3
1984-08-01,Yampa_White_N_Platte,3.8
1984-08-01,Arkansas,3.4
1984-08-01,Rio_Grande,1.7
1984-08-01,San_Juan,2
1984-09-01,Gunnison,3.6
1984-09-01,Colorado,4
1984-09-01,South_Platte,3.8
