"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1986-05-01&before=2023-03-15&filename=Willow%20Creek%20Reservoir%20and%20Dam%20%28CO%29%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%281986-05-01%20-%202023-03-15%29&itemId=874&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Willow Creek Reservoir and Dam (CO)","CO","(-105.942, 40.1478)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Willow Creek Reservoir and Dam (CO)","Lake/Reservoir Release - Total","407","cfs","daily","average","1986-06-16 19:00:00"
"Willow Creek Reservoir and Dam (CO)","Lake/Reservoir Release - Total","387","cfs","daily","average","1986-06-17 19:00:00"
"Willow Creek Reservoir and Dam (CO)","Lake/Reservoir Release - Total","413","cfs","daily","average","1986-06-18 19:00:00"
"Willow Creek Reservoir and Dam (CO)","Lake/Reservoir Release - Total","474","cfs","daily","average","1986-06-19 19:00:00"
"Willow Creek Reservoir and Dam (CO)","Lake/Reservoir Release - Total","328","cfs","daily","average","1986-06-20 19:00:00"
"Willow Creek Reservoir and Dam (CO)","Lake/Reservoir Release - Total","399","cfs","daily","average","1986-06-21 19:00:00"
"Willow Creek Reservoir and Dam (CO)","Lake/Reservoir Release - Total","376","cfs","daily","average","1986-06-22 19:00:00"
"Willow Creek Reservoir and Dam (CO)","Lake/Reservoir Release - Total","372","cfs","daily","average","1986-06-23 19:00:00"
"Willow Creek Reservoir and Dam (CO)","Lake/Reservoir Release - Total","280","cfs","daily","average","1986-06-24 19:00:00"
"Willow Creek Reservoir and Dam (CO)","Lake/Reservoir Release - Total","279","cfs","daily","average","1986-06-25 19:00:00"
"Willow Creek Reservoir and Dam (CO)","Lake/Reservoir Release - Total","279","cfs","daily","average","1986-06-26 19:00:00"
"Willow Creek Reservoir and Dam (CO)","Lake/Reservoir Release - Total","255","cfs","daily","average","1986-06-27 19:00:00"
"Willow Creek Reservoir and Dam (CO)","Lake/Reservoir Release - Total","240","cfs","daily","average","1986-06-28 19:00:00"
"Willow Creek Reservoir and Dam (CO)","Lake/Reservoir Release - Total","241","cfs","daily","average","1986-06-29 19:00:00"
