"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1985-10-01&before=2023-03-15&filename=Green%20Mountain%20Reservoir%20Dam%20and%20Powerplant%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%281985-10-01%20-%202023-03-15%29&itemId=23&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Green Mountain Reservoir Dam and Powerplant","CO","(-106.3133, 39.8789)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","442","cfs","daily","average","1985-11-15 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","406","cfs","daily","average","1985-11-16 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","400","cfs","daily","average","1985-11-17 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","402","cfs","daily","average","1985-11-18 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","407","cfs","daily","average","1985-11-19 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","406","cfs","daily","average","1985-11-20 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","403","cfs","daily","average","1985-11-21 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","402","cfs","daily","average","1985-11-22 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","406","cfs","daily","average","1985-11-23 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","409","cfs","daily","average","1985-11-24 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","272","cfs","daily","average","1985-11-25 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","50","cfs","daily","average","1985-11-26 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","183","cfs","daily","average","1985-11-27 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","403","cfs","daily","average","1985-11-28 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","399","cfs","daily","average","1985-11-29 19:00:00"
