"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=2015-02-15&before=2023-03-15&filename=Flatiron%20Reservoir%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%282015-02-15%20-%202023-03-15%29&itemId=346&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Flatiron Reservoir and Dam","CO","(-105.2361, 40.365)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","1.17","cfs","daily","average","2015-04-12 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","1.43","cfs","daily","average","2015-04-13 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","77.56","cfs","daily","average","2015-04-14 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","58.76","cfs","daily","average","2015-04-15 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","58.2","cfs","daily","average","2015-04-16 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","50.98","cfs","daily","average","2015-04-17 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","49.23","cfs","daily","average","2015-04-18 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","46.55","cfs","daily","average","2015-04-19 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","47","cfs","daily","average","2015-04-20 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","46.63","cfs","daily","average","2015-04-21 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","136.63","cfs","daily","average","2015-04-22 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","107.86","cfs","daily","average","2015-04-23 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","107.38","cfs","daily","average","2015-04-24 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","108.88","cfs","daily","average","2015-04-25 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","109.09","cfs","daily","average","2015-04-26 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","266.32","cfs","daily","average","2015-04-27 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","409.8","cfs","daily","average","2015-04-28 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","412.7","cfs","daily","average","2015-04-29 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","418.97","cfs","daily","average","2015-04-30 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","422.02","cfs","daily","average","2015-05-01 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","423.94","cfs","daily","average","2015-05-02 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","424.16","cfs","daily","average","2015-05-03 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","425.08","cfs","daily","average","2015-05-04 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","425.74","cfs","daily","average","2015-05-05 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","426.79","cfs","daily","average","2015-05-06 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","440.12","cfs","daily","average","2015-05-07 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","440.78","cfs","daily","average","2015-05-08 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","409.49","cfs","daily","average","2015-05-09 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","263.72","cfs","daily","average","2015-05-10 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","284.87","cfs","daily","average","2015-05-11 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","302.05","cfs","daily","average","2015-05-12 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","262.48","cfs","daily","average","2015-05-13 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","237.56","cfs","daily","average","2015-05-14 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","224.6","cfs","daily","average","2015-05-15 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","222.77","cfs","daily","average","2015-05-16 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","214.71","cfs","daily","average","2015-05-17 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","194.29","cfs","daily","average","2015-05-18 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","194.29","cfs","daily","average","2015-05-19 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","198.05","cfs","daily","average","2015-05-20 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","310.97","cfs","daily","average","2015-05-21 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","351.67","cfs","daily","average","2015-05-22 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","340.26","cfs","daily","average","2015-05-23 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","327.26","cfs","daily","average","2015-05-24 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","344.93","cfs","daily","average","2015-05-25 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","355.59","cfs","daily","average","2015-05-26 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","352.9","cfs","daily","average","2015-05-27 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","355.56","cfs","daily","average","2015-05-28 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","391.13","cfs","daily","average","2015-05-29 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","437.77","cfs","daily","average","2015-05-30 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","449.68","cfs","daily","average","2015-05-31 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","450.7","cfs","daily","average","2015-06-01 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","514.83","cfs","daily","average","2015-06-02 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","536.05","cfs","daily","average","2015-06-03 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","533.97","cfs","daily","average","2015-06-04 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","532.92","cfs","daily","average","2015-06-05 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","545.53","cfs","daily","average","2015-06-06 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","546.9","cfs","daily","average","2015-06-07 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","546.42","cfs","daily","average","2015-06-08 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","567.02","cfs","daily","average","2015-06-09 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","553.08","cfs","daily","average","2015-06-10 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","553.14","cfs","daily","average","2015-06-11 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","541.8","cfs","daily","average","2015-06-12 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","537.4","cfs","daily","average","2015-06-13 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","533.85","cfs","daily","average","2015-06-14 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","547","cfs","daily","average","2015-06-15 19:00:00"
