"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1994-11-01&before=2023-03-15&filename=Shadow%20Mountain%20Lake%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%281994-11-01%20-%202023-03-15%29&itemId=740&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Shadow Mountain Lake and Dam","CO","(-105.8417, 40.2072)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","589","cfs","daily","average","1994-12-20 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","590","cfs","daily","average","1994-12-21 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","588","cfs","daily","average","1994-12-22 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","564","cfs","daily","average","1994-12-23 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","554","cfs","daily","average","1994-12-24 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","543","cfs","daily","average","1994-12-25 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","543","cfs","daily","average","1994-12-26 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","537","cfs","daily","average","1994-12-27 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","550","cfs","daily","average","1994-12-28 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","559","cfs","daily","average","1994-12-29 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","549","cfs","daily","average","1994-12-30 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","537","cfs","daily","average","1994-12-31 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","538","cfs","daily","average","1995-01-01 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","538","cfs","daily","average","1995-01-02 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","533","cfs","daily","average","1995-01-03 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","534","cfs","daily","average","1995-01-04 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","521","cfs","daily","average","1995-01-05 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","511","cfs","daily","average","1995-01-06 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","510","cfs","daily","average","1995-01-07 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","510","cfs","daily","average","1995-01-08 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","525","cfs","daily","average","1995-01-09 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","528","cfs","daily","average","1995-01-10 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","526","cfs","daily","average","1995-01-11 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","524","cfs","daily","average","1995-01-12 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","526","cfs","daily","average","1995-01-13 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","529","cfs","daily","average","1995-01-14 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","529","cfs","daily","average","1995-01-15 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","533","cfs","daily","average","1995-01-16 19:00:00"
