"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1985-10-01&before=2022-10-03&filename=Lake%20Granby%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%281985-10-01%20-%202022-10-03%29&itemId=386&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Lake Granby and Dam","CO","(-105.8711, 40.182)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Lake Granby and Dam","Lake/Reservoir Release - Total","225","cfs","daily","average","1985-10-01 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","276","cfs","daily","average","1985-10-02 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","263","cfs","daily","average","1985-10-03 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","156","cfs","daily","average","1985-10-04 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","203","cfs","daily","average","1985-10-05 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","219","cfs","daily","average","1985-10-06 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","160","cfs","daily","average","1985-10-07 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","101","cfs","daily","average","1985-10-08 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","130","cfs","daily","average","1985-10-09 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","182","cfs","daily","average","1985-10-10 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","145","cfs","daily","average","1985-10-11 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","27","cfs","daily","average","1985-10-12 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","130","cfs","daily","average","1985-10-13 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","55","cfs","daily","average","1985-10-14 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","218","cfs","daily","average","1985-10-15 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","232","cfs","daily","average","1985-10-16 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","234","cfs","daily","average","1985-10-17 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","418","cfs","daily","average","1985-10-18 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","179","cfs","daily","average","1985-10-19 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","26","cfs","daily","average","1985-10-20 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","26","cfs","daily","average","1985-10-21 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","27","cfs","daily","average","1985-10-22 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","27","cfs","daily","average","1985-10-23 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","27","cfs","daily","average","1985-10-24 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","26","cfs","daily","average","1985-10-25 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","26","cfs","daily","average","1985-10-26 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","151","cfs","daily","average","1985-10-27 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","151","cfs","daily","average","1985-10-28 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","324","cfs","daily","average","1985-10-29 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","214","cfs","daily","average","1985-10-30 19:00:00"
"Lake Granby and Dam","Lake/Reservoir Release - Total","245","cfs","daily","average","1985-10-31 19:00:00"
