"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1991-05-23&before=1999-07-01&filename=Carter%20Lake%20Reservoir%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Spillway-cfs%20Time%20Series%20Data%20%281991-05-23%20-%201999-07-01%29&itemId=11&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Carter Lake Reservoir and Dam ","CO","(-105.2119, 40.3242)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","439.61","cfs","daily","average","1991-07-09 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","437.91","cfs","daily","average","1991-07-10 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","437.23","cfs","daily","average","1991-07-11 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","435.49","cfs","daily","average","1991-07-12 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","434.33","cfs","daily","average","1991-07-13 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","432.34","cfs","daily","average","1991-07-14 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","430.49","cfs","daily","average","1991-07-15 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","428.82","cfs","daily","average","1991-07-16 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","448.91","cfs","daily","average","1991-07-17 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","464.76","cfs","daily","average","1991-07-18 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","455.18","cfs","daily","average","1991-07-19 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","447.33","cfs","daily","average","1991-07-20 19:00:00"
