"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=2009-01-01&before=2023-03-14&filename=Heron%20Reservoir%20and%20Dam%20Daily%20Average%20San%20Juan%20Chama%20Inflow%20Volume-af%20Time%20Series%20Data%20%282009-01-01%20-%202023-03-14%29&itemId=4503&order=ASC&type=csv","","","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","","","",""
"#LOCATION INFORMATION#","","","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","","","",""
"Heron Reservoir and Dam","NM","(-106.6992, 36.6973)","MT","Lake/Reservoir","","","",""
"","","","","","","","",""
"#SERIES DATA#","","","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)","timeStep","resultType"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-05 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-06 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-07 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-08 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-09 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-10 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-11 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-12 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-13 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-14 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-15 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-16 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-17 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-18 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-19 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-20 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-21 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-22 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-23 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-24 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-25 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-26 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-27 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-28 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-29 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-30 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2011-12-31 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-01 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-02 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-03 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-04 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-05 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-06 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-07 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-08 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-09 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-10 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-11 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-12 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-13 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-14 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-15 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-16 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-17 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-18 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-19 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-20 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-21 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-22 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-23 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-24 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-25 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-26 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-27 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-28 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-29 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-30 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-01-31 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-01 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-02 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-03 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-04 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-05 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-06 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-07 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-08 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-09 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-10 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-11 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-12 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-13 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-14 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-15 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-16 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-17 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-18 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-19 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-20 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-21 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-22 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-23 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-24 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-25 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-26 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-27 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-28 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-02-29 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-03-01 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-03-02 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-03-03 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-03-04 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-03-05 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-03-06 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-03-07 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-03-08 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-03-09 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-03-10 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-03-11 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","21.956","af","daily","sum","2012-03-12 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","76.846","af","daily","sum","2012-03-13 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","115.768","af","daily","sum","2012-03-14 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","163.672","af","daily","sum","2012-03-15 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","248.502","af","daily","sum","2012-03-16 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","288.422","af","daily","sum","2012-03-17 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","263.472","af","daily","sum","2012-03-18 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","162.674","af","daily","sum","2012-03-19 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","122.754","af","daily","sum","2012-03-20 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","97.804","af","daily","sum","2012-03-21 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","151.696","af","daily","sum","2012-03-22 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","318.362","af","daily","sum","2012-03-23 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","501.994","af","daily","sum","2012-03-24 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","597.802","af","daily","sum","2012-03-25 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","600.796","af","daily","sum","2012-03-26 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","619.758","af","daily","sum","2012-03-27 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","647.702","af","daily","sum","2012-03-28 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","637.722","af","daily","sum","2012-03-29 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","655.686","af","daily","sum","2012-03-30 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","706.584","af","daily","sum","2012-03-31 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","789.418","af","daily","sum","2012-04-01 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","725.546","af","daily","sum","2012-04-02 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","532.932","af","daily","sum","2012-04-03 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","457.084","af","daily","sum","2012-04-04 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","497.004","af","daily","sum","2012-04-05 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","499.998","af","daily","sum","2012-04-06 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","521.954","af","daily","sum","2012-04-07 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","553.89","af","daily","sum","2012-04-08 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","634.728","af","daily","sum","2012-04-09 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","725.546","af","daily","sum","2012-04-10 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","771.454","af","daily","sum","2012-04-11 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","758.48","af","daily","sum","2012-04-12 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","572.852","af","daily","sum","2012-04-13 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","484.03","af","daily","sum","2012-04-14 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","414.17","af","daily","sum","2012-04-15 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","369.26","af","daily","sum","2012-04-16 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","341.316","af","daily","sum","2012-04-17 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","352.294","af","daily","sum","2012-04-18 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","367.264","af","daily","sum","2012-04-19 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","322.354","af","daily","sum","2012-04-20 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","410.178","af","daily","sum","2012-04-21 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","525.946","af","daily","sum","2012-04-22 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","656.684","af","daily","sum","2012-04-23 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","770.456","af","daily","sum","2012-04-24 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","936.124","af","daily","sum","2012-04-25 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","931.134","af","daily","sum","2012-04-26 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","1041.91","af","daily","sum","2012-04-27 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","848.3","af","daily","sum","2012-04-28 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","685.626","af","daily","sum","2012-04-29 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","598.8","af","daily","sum","2012-04-30 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","409.18","af","daily","sum","2012-05-01 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","379.24","af","daily","sum","2012-05-02 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","454.09","af","daily","sum","2012-05-03 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","568.86","af","daily","sum","2012-05-04 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","675.646","af","daily","sum","2012-05-05 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","716.564","af","daily","sum","2012-05-06 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","668.66","af","daily","sum","2012-05-07 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","611.774","af","daily","sum","2012-05-08 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","517.962","af","daily","sum","2012-05-09 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","483.032","af","daily","sum","2012-05-10 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","529.938","af","daily","sum","2012-05-11 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","661.674","af","daily","sum","2012-05-12 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","574.848","af","daily","sum","2012-05-13 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","469.06","af","daily","sum","2012-05-14 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","478.042","af","daily","sum","2012-05-15 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","552.892","af","daily","sum","2012-05-16 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","622.752","af","daily","sum","2012-05-17 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","652.692","af","daily","sum","2012-05-18 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","567.862","af","daily","sum","2012-05-19 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","606.784","af","daily","sum","2012-05-20 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","651.694","af","daily","sum","2012-05-21 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","763.47","af","daily","sum","2012-05-22 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","793.41","af","daily","sum","2012-05-23 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","691.614","af","daily","sum","2012-05-24 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","614.768","af","daily","sum","2012-05-25 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","558.88","af","daily","sum","2012-05-26 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","439.12","af","daily","sum","2012-05-27 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","336.326","af","daily","sum","2012-05-28 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","306.386","af","daily","sum","2012-05-29 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","326.346","af","daily","sum","2012-05-30 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","314.37","af","daily","sum","2012-05-31 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","391.216","af","daily","sum","2012-06-01 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","427.144","af","daily","sum","2012-06-02 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","377.244","af","daily","sum","2012-06-03 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","341.316","af","daily","sum","2012-06-04 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","315.368","af","daily","sum","2012-06-05 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","317.364","af","daily","sum","2012-06-06 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","293.412","af","daily","sum","2012-06-07 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","261.476","af","daily","sum","2012-06-08 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","218.562","af","daily","sum","2012-06-09 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","179.64","af","daily","sum","2012-06-10 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","153.692","af","daily","sum","2012-06-11 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","127.744","af","daily","sum","2012-06-12 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","110.778","af","daily","sum","2012-06-13 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","91.816","af","daily","sum","2012-06-14 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","87.824","af","daily","sum","2012-06-15 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","64.87","af","daily","sum","2012-06-16 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","56.886","af","daily","sum","2012-06-17 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","45.908","af","daily","sum","2012-06-18 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","33.932","af","daily","sum","2012-06-19 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","25.948","af","daily","sum","2012-06-20 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","17.964","af","daily","sum","2012-06-21 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","14.97","af","daily","sum","2012-06-22 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","14.97","af","daily","sum","2012-06-23 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","13.972","af","daily","sum","2012-06-24 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","9.98","af","daily","sum","2012-06-25 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","6.986","af","daily","sum","2012-06-26 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","5.988","af","daily","sum","2012-06-27 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","6.986","af","daily","sum","2012-06-28 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","8.982","af","daily","sum","2012-06-29 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","5.988","af","daily","sum","2012-06-30 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","2.994","af","daily","sum","2012-07-01 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0.998","af","daily","sum","2012-07-02 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0.998","af","daily","sum","2012-07-03 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0.998","af","daily","sum","2012-07-04 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2012-07-05 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","36.926","af","daily","sum","2012-07-06 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","68.862","af","daily","sum","2012-07-07 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","69.86","af","daily","sum","2012-07-08 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","80.838","af","daily","sum","2012-07-09 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","97.804","af","daily","sum","2012-07-10 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","49.9","af","daily","sum","2012-07-11 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","11.976","af","daily","sum","2012-07-12 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","26.946","af","daily","sum","2012-07-13 07:00:00","day","observed"
