"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=2012-02-13&before=2023-03-15&filename=Pinewood%20Reservoir%20and%20Rattlesnake%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%282012-02-13%20-%202023-03-15%29&itemId=660&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Pinewood Reservoir and Rattlesnake Dam ","CO","(-105.2864, 40.368)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","486.19","cfs","daily","average","2012-03-30 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","392.2","cfs","daily","average","2012-03-31 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","451.34","cfs","daily","average","2012-04-01 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","381.3","cfs","daily","average","2012-04-02 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","361.5","cfs","daily","average","2012-04-03 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","362.6","cfs","daily","average","2012-04-04 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","347.57","cfs","daily","average","2012-04-05 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","345.88","cfs","daily","average","2012-04-06 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","357.71","cfs","daily","average","2012-04-07 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","355.78","cfs","daily","average","2012-04-08 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","351.06","cfs","daily","average","2012-04-09 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","340.69","cfs","daily","average","2012-04-10 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","342.42","cfs","daily","average","2012-04-11 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","339.72","cfs","daily","average","2012-04-12 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","337.96","cfs","daily","average","2012-04-13 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","337.88","cfs","daily","average","2012-04-14 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","338.89","cfs","daily","average","2012-04-15 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","337.65","cfs","daily","average","2012-04-16 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","334.39","cfs","daily","average","2012-04-17 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","331.37","cfs","daily","average","2012-04-18 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","331.82","cfs","daily","average","2012-04-19 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","331.27","cfs","daily","average","2012-04-20 19:00:00"
"Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir Release - Total","321.9","cfs","daily","average","2012-04-21 19:00:00"
