"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1974-01-01&before=2023-03-15&filename=Ruedi%20Reservoir%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%281974-01-01%20-%202023-03-15%29&itemId=716&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Ruedi Reservoir and Dam ","CO","(-106.818, 39.3639)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-02-19 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-02-20 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-02-21 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-02-22 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-02-23 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-02-24 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-02-25 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-02-26 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-02-27 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-02-28 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-01 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-02 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-03 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-04 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-05 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-06 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-07 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-08 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-09 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-10 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-11 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-12 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-13 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-14 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-15 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-16 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-17 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-18 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-03-19 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","175","cfs","daily","average","1974-03-20 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","174","cfs","daily","average","1974-03-21 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","174","cfs","daily","average","1974-03-22 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","174","cfs","daily","average","1974-03-23 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","174","cfs","daily","average","1974-03-24 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","174","cfs","daily","average","1974-03-25 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","174","cfs","daily","average","1974-03-26 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","173","cfs","daily","average","1974-03-27 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","172","cfs","daily","average","1974-03-28 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","172","cfs","daily","average","1974-03-29 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","171","cfs","daily","average","1974-03-30 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","171","cfs","daily","average","1974-03-31 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","171","cfs","daily","average","1974-04-01 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","171","cfs","daily","average","1974-04-02 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","171","cfs","daily","average","1974-04-03 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","137","cfs","daily","average","1974-04-04 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","125","cfs","daily","average","1974-04-05 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","125","cfs","daily","average","1974-04-06 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","125","cfs","daily","average","1974-04-07 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","125","cfs","daily","average","1974-04-08 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","105","cfs","daily","average","1974-04-09 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","79","cfs","daily","average","1974-04-10 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","77","cfs","daily","average","1974-04-11 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","76","cfs","daily","average","1974-04-12 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","76","cfs","daily","average","1974-04-13 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","76","cfs","daily","average","1974-04-14 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","76","cfs","daily","average","1974-04-15 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","71","cfs","daily","average","1974-04-16 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","65","cfs","daily","average","1974-04-17 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","65","cfs","daily","average","1974-04-18 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","65","cfs","daily","average","1974-04-19 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","63","cfs","daily","average","1974-04-20 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","63","cfs","daily","average","1974-04-21 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","62","cfs","daily","average","1974-04-22 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","62","cfs","daily","average","1974-04-23 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","62","cfs","daily","average","1974-04-24 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","98","cfs","daily","average","1974-04-25 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","144","cfs","daily","average","1974-04-26 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","193","cfs","daily","average","1974-04-27 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","253","cfs","daily","average","1974-04-28 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","310","cfs","daily","average","1974-04-29 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","311","cfs","daily","average","1974-04-30 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","310","cfs","daily","average","1974-05-01 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","310","cfs","daily","average","1974-05-02 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","268","cfs","daily","average","1974-05-03 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","197","cfs","daily","average","1974-05-04 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","195","cfs","daily","average","1974-05-05 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","194","cfs","daily","average","1974-05-06 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","210","cfs","daily","average","1974-05-07 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","255","cfs","daily","average","1974-05-08 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","256","cfs","daily","average","1974-05-09 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","257","cfs","daily","average","1974-05-10 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","261","cfs","daily","average","1974-05-11 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","266","cfs","daily","average","1974-05-12 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","267","cfs","daily","average","1974-05-13 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","265","cfs","daily","average","1974-05-14 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","273","cfs","daily","average","1974-05-15 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","276","cfs","daily","average","1974-05-16 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","272","cfs","daily","average","1974-05-17 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","270","cfs","daily","average","1974-05-18 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","270","cfs","daily","average","1974-05-19 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","274","cfs","daily","average","1974-05-20 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","272","cfs","daily","average","1974-05-21 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","266","cfs","daily","average","1974-05-22 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","267","cfs","daily","average","1974-05-23 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","269","cfs","daily","average","1974-05-24 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","268","cfs","daily","average","1974-05-25 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","266","cfs","daily","average","1974-05-26 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","267","cfs","daily","average","1974-05-27 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","270","cfs","daily","average","1974-05-28 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","271","cfs","daily","average","1974-05-29 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","272","cfs","daily","average","1974-05-30 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","272","cfs","daily","average","1974-05-31 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","279","cfs","daily","average","1974-06-01 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","288","cfs","daily","average","1974-06-02 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","284","cfs","daily","average","1974-06-03 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","283","cfs","daily","average","1974-06-04 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","269","cfs","daily","average","1974-06-05 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","241","cfs","daily","average","1974-06-06 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","241","cfs","daily","average","1974-06-07 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","240","cfs","daily","average","1974-06-08 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","241","cfs","daily","average","1974-06-09 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","242","cfs","daily","average","1974-06-10 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","240","cfs","daily","average","1974-06-11 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","240","cfs","daily","average","1974-06-12 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","210","cfs","daily","average","1974-06-13 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","180","cfs","daily","average","1974-06-14 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","166","cfs","daily","average","1974-06-15 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","148","cfs","daily","average","1974-06-16 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","148","cfs","daily","average","1974-06-17 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","149","cfs","daily","average","1974-06-18 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","157","cfs","daily","average","1974-06-19 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","176","cfs","daily","average","1974-06-20 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","249","cfs","daily","average","1974-06-21 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","312","cfs","daily","average","1974-06-22 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","312","cfs","daily","average","1974-06-23 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","314","cfs","daily","average","1974-06-24 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","318","cfs","daily","average","1974-06-25 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","330","cfs","daily","average","1974-06-26 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","404","cfs","daily","average","1974-06-27 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","491","cfs","daily","average","1974-06-28 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","505","cfs","daily","average","1974-06-29 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","515","cfs","daily","average","1974-06-30 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","530","cfs","daily","average","1974-07-01 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","529","cfs","daily","average","1974-07-02 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","531","cfs","daily","average","1974-07-03 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","489","cfs","daily","average","1974-07-04 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","326","cfs","daily","average","1974-07-05 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","272","cfs","daily","average","1974-07-06 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","249","cfs","daily","average","1974-07-07 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","233","cfs","daily","average","1974-07-08 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","228","cfs","daily","average","1974-07-09 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","227","cfs","daily","average","1974-07-10 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","205","cfs","daily","average","1974-07-11 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","166","cfs","daily","average","1974-07-12 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","148","cfs","daily","average","1974-07-13 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","177","cfs","daily","average","1974-07-14 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","203","cfs","daily","average","1974-07-15 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","205","cfs","daily","average","1974-07-16 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","196","cfs","daily","average","1974-07-17 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","204","cfs","daily","average","1974-07-18 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","229","cfs","daily","average","1974-07-19 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","192","cfs","daily","average","1974-07-20 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","166","cfs","daily","average","1974-07-21 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","174","cfs","daily","average","1974-07-22 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","256","cfs","daily","average","1974-07-23 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","244","cfs","daily","average","1974-07-24 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","164","cfs","daily","average","1974-07-25 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","156","cfs","daily","average","1974-07-26 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","159","cfs","daily","average","1974-07-27 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","159","cfs","daily","average","1974-07-28 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","159","cfs","daily","average","1974-07-29 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","166","cfs","daily","average","1974-07-30 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","162","cfs","daily","average","1974-07-31 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","142","cfs","daily","average","1974-08-01 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","120","cfs","daily","average","1974-08-02 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","115","cfs","daily","average","1974-08-03 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","115","cfs","daily","average","1974-08-04 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","115","cfs","daily","average","1974-08-05 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","119","cfs","daily","average","1974-08-06 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","134","cfs","daily","average","1974-08-07 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","122","cfs","daily","average","1974-08-08 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","115","cfs","daily","average","1974-08-09 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","115","cfs","daily","average","1974-08-10 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","134","cfs","daily","average","1974-08-11 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","152","cfs","daily","average","1974-08-12 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","141","cfs","daily","average","1974-08-13 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","109","cfs","daily","average","1974-08-14 19:00:00"
