"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1984-10-01&before=2023-03-14&filename=Pueblo%20Reservoir%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%281984-10-01%20-%202023-03-14%29&itemId=684&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Pueblo Reservoir and Dam","CO","(-104.7181, 38.2597)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","103","cfs","daily","average","1984-12-15 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","103","cfs","daily","average","1984-12-16 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","103","cfs","daily","average","1984-12-17 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","103","cfs","daily","average","1984-12-18 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","103","cfs","daily","average","1984-12-19 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","103","cfs","daily","average","1984-12-20 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","103","cfs","daily","average","1984-12-21 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","103","cfs","daily","average","1984-12-22 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","103","cfs","daily","average","1984-12-23 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","103","cfs","daily","average","1984-12-24 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","103","cfs","daily","average","1984-12-25 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","106","cfs","daily","average","1984-12-26 19:00:00"
