Basin,HUC8,HUC8 Name,Report Year,Report Month,Component Type,Component ID,Component Name,Component Volume,Component NEP
South Platte,10190003,Middle South Platte-Cherry Creek,2018,4,ForecastedRunoff,06707500,SOUTH PLATTE RIVER AT SOUTH PLATTE,112000.00,14.26
South Platte,10190003,Middle South Platte-Cherry Creek,2018,4,ForecastedRunoff,06719505,CLEAR CREEK AT GOLDEN,85000.00,22.00
South Platte,10190003,Middle South Platte-Cherry Creek,2018,4,ForecastedRunoff,06724000,SAINT VRAIN CREEK AT LYONS,74000.00,32.59
South Platte,10190003,Middle South Platte-Cherry Creek,2018,4,ForecastedRunoff,06727000,BOULDER CREEK NEAR ORODELL,49000.00,33.83
South Platte,10190003,Middle South Platte-Cherry Creek,2018,4,ForecastedRunoff,06729500,"SOUTH BOULDER CK NR ELDORADO SPRINGS, CO",32000.00,29.31
South Platte,10190003,Middle South Platte-Cherry Creek,2018,4,ForecastedRunoff,06738000,"BIG THOMPSON R AT MOUTH, NR DRAKE, CO",75000.00,32.59
South Platte,10190003,Middle South Platte-Cherry Creek,2018,4,ForecastedRunoff,06752000,CACHE LA POUDRE R AT CANYON MOUTH,215000.00,43.37
South Platte,10190003,Middle South Platte-Cherry Creek,2018,4,ReservoirStorage,06016020,BARR LAKE,29800.00,89.16
South Platte,10190003,Middle South Platte-Cherry Creek,2018,4,ReservoirStorage,06016230,MILTON RESERVOIR,22000.00,95.18
South Platte,10190003,Middle South Platte-Cherry Creek,2018,4,ReservoirStorage,06016280,STANDLEY RESERVOIR,41200.00,96.02
South Platte,10190003,Middle South Platte-Cherry Creek,2018,4,ReservoirStorage,06016370,HORSECREEK RESERVOIR,12200.00,9.78
South Platte,10190004,Clear,2018,4,ForecastedRunoff,06719505,CLEAR CREEK AT GOLDEN,85000.00,22.00
South Platte,10190005,St. Vrain,2018,4,ForecastedRunoff,06724000,SAINT VRAIN CREEK AT LYONS,74000.00,32.59
South Platte,10190005,St. Vrain,2018,4,ForecastedRunoff,06727000,BOULDER CREEK NEAR ORODELL,49000.00,33.83
South Platte,10190005,St. Vrain,2018,4,ForecastedRunoff,06729500,"SOUTH BOULDER CK NR ELDORADO SPRINGS, CO",32000.00,29.31
South Platte,10190005,St. Vrain,2018,4,ReservoirStorage,06016130,GROSS RESERVOIR,13469.00,76.17
South Platte,10190005,St. Vrain,2018,4,ReservoirStorage,06016220,MARSHALL RESERVOIR,8100.00,83.68
South Platte,10190005,St. Vrain,2018,4,ReservoirStorage,06016260,BUTTONROCK (RALPH PRICE) RESERVOIR,15800.00,98.51
South Platte,10190005,St. Vrain,2018,4,ReservoirStorage,06016290,TERRY RESERVOIR,6500.00,92.11
South Platte,10190005,St. Vrain,2018,4,ReservoirStorage,06016300,UNION RESERVOIR,11891.00,55.61
South Platte,10190006,Big Thompson,2018,4,ForecastedRunoff,06738000,"BIG THOMPSON R AT MOUTH, NR DRAKE, CO",75000.00,32.59
South Platte,10190006,Big Thompson,2018,4,ReservoirStorage,06016040,BOYD LAKE,35500.00,59.77
South Platte,10190006,Big Thompson,2018,4,ReservoirStorage,06016060,CARTER LAKE,87638.00,15.59
South Platte,10190006,Big Thompson,2018,4,ReservoirStorage,06016180,LAKE LOVELAND RESERVOIR,7700.00,57.26
South Platte,10190006,Big Thompson,2018,4,ReservoirStorage,06016190,LONE TREE RESERVOIR,6600.00,25.54
South Platte,10190006,Big Thompson,2018,4,ReservoirStorage,06016200,MARIANO RESERVOIR,4000.00,37.77
South Platte,10190006,Big Thompson,2018,4,ReservoirStorage,09009060,LAKE GRANBY,357573.00,83.83
South Platte,10190006,Big Thompson,2018,4,ReservoirStorage,09009160,WILLOW CREEK RESERVOIR,7317.00,49.60
South Platte,10190007,Cache La Poudre,2018,4,ForecastedRunoff,06752000,CACHE LA POUDRE R AT CANYON MOUTH,215000.00,43.37
South Platte,10190007,Cache La Poudre,2018,4,ReservoirStorage,06016030,BLACK HOLLOW RESERVOIR,3300.00,69.02
South Platte,10190007,Cache La Poudre,2018,4,ReservoirStorage,06016050,CACHE LA POUDRE,10600.00,98.51
South Platte,10190007,Cache La Poudre,2018,4,ReservoirStorage,06016070,CHAMBERS LAKE,4600.00,72.83
South Platte,10190007,Cache La Poudre,2018,4,ReservoirStorage,06016090,COBB LAKE,18900.00,76.55
South Platte,10190007,Cache La Poudre,2018,4,ReservoirStorage,06016120,FOSSIL CREEK RESERVOIR,9300.00,74.12
South Platte,10190007,Cache La Poudre,2018,4,ReservoirStorage,06016140,HALLIGAN RESERVOIR,6400.00,94.78
South Platte,10190007,Cache La Poudre,2018,4,ReservoirStorage,06016150,HORSETOOTH RESERVOIR,105837.00,26.40
South Platte,10190007,Cache La Poudre,2018,4,ReservoirStorage,06016310,WINDSOR RESERVOIR,11600.00,40.39
South Platte,10190012,Middle South Platte-Sterling,2018,4,ForecastedRunoff,06707500,SOUTH PLATTE RIVER AT SOUTH PLATTE,112000.00,14.26
South Platte,10190012,Middle South Platte-Sterling,2018,4,ForecastedRunoff,06719505,CLEAR CREEK AT GOLDEN,85000.00,22.00
South Platte,10190012,Middle South Platte-Sterling,2018,4,ForecastedRunoff,06724000,SAINT VRAIN CREEK AT LYONS,74000.00,32.59
