WDID,WDID Account ID,Structure Name,WDID Account Name,Source Code,Source Descr,From WDID,From WDID Account,From Structure,From WDID Account Name,Use Code,Use Descr,Type Code,Type Descr,Group WDID,Group Structure,To WDID,To WDID Account ID,To Structure Name,To WDID Account Name,Description,Water Class,Meas Interval,Aggregation Interval,Date,Amount,Obs Code,Units,Data Status,Modified,
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2022 00:00","7.75","K","AF","Provisional","02/24/2023 14:18",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2022 00:00","141.62","K","AF","Provisional","02/24/2023 14:18",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2022 00:00","210.85","K","AF","Provisional","02/24/2023 14:18",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2022 00:00","2728.11","K","AF","Provisional","02/24/2023 14:18",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2022 00:00","25158.71","K","AF","Provisional","02/24/2023 14:18",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2022 00:00","22378.64","K","AF","Provisional","02/24/2023 14:18",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","04/30/2022 00:00","355.05","K","AF","Provisional","02/24/2023 14:18",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","03/31/2022 00:00","147.37","K","AF","Provisional","02/24/2023 14:18",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","02/28/2022 00:00","117.03","K","AF","Provisional","02/24/2023 14:18",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","01/31/2022 00:00","122.98","K","AF","Provisional","02/24/2023 14:18",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","12/31/2021 00:00","114.45","K","AF","Provisional","02/24/2023 14:18",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","11/30/2021 00:00","123.97","K","AF","Provisional","02/24/2023 14:18",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2021 00:00","135.99","K","AF","Approved","12/30/2022 16:16",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2021 00:00","124.84","K","AF","Approved","12/30/2022 16:16",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2021 00:00","129.4","K","AF","Approved","12/30/2022 16:16",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2021 00:00","1160.86","K","AF","Approved","12/30/2022 16:16",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2021 00:00","20621.06","K","AF","Approved","12/30/2022 16:16",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2021 00:00","11415.92","K","AF","Approved","12/30/2022 16:16",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","04/30/2021 00:00","187.8","K","AF","Approved","12/30/2022 16:16",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","03/31/2021 00:00","147.67","K","AF","Approved","12/30/2022 16:16",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","02/28/2021 00:00","111.61","K","AF","Approved","12/30/2022 16:16",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","01/31/2021 00:00","119.9","K","AF","Approved","12/30/2022 16:16",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","12/31/2020 00:00","119.9","K","AF","Approved","12/30/2022 16:16",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","11/30/2020 00:00","134.96","K","AF","Approved","12/30/2022 16:16",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2020 00:00","144.87","K","AF","Approved","05/06/2021 15:46",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2020 00:00","154.97","K","AF","Approved","05/06/2021 15:46",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2020 00:00","90.91","K","AF","Approved","05/06/2021 15:46",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2020 00:00","1522.95","K","AF","Approved","05/06/2021 15:46",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2020 00:00","28746.38","K","AF","Approved","05/06/2021 15:46",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2020 00:00","22127.93","K","AF","Approved","05/06/2021 15:46",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","04/30/2020 00:00","225.07","K","AF","Approved","05/06/2021 15:46",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","03/31/2020 00:00","120.35","K","AF","Approved","05/06/2021 15:46",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","02/29/2020 00:00","78.43","K","AF","Approved","05/06/2021 15:46",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","01/31/2020 00:00","63.33","K","AF","Approved","05/06/2021 15:46",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","12/31/2019 00:00","59.08","K","AF","Approved","05/06/2021 15:46",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","11/30/2019 00:00","48.87","K","AF","Approved","05/06/2021 15:46",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2019 00:00","4.25","K","AF","Approved","02/03/2020 11:01",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2019 00:00","105.74","K","AF","Approved","02/03/2020 11:01",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2019 00:00","8921.88","K","AF","Approved","02/03/2020 11:01",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2019 00:00","52470.36","K","AF","Approved","02/03/2020 11:01",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2019 00:00","48106.43","K","AF","Approved","02/03/2020 11:01",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2019 00:00","3987.24","K","AF","Approved","02/03/2020 11:01",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","04/30/2019 00:00","463.3","K","AF","Approved","02/03/2020 11:01",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","03/31/2019 00:00","134.77","K","AF","Approved","02/03/2020 11:01",
"3804625","","FRY ARK PR BOUSTEAD TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","02/28/2019 00:00","122.74","K","AF","Approved","02/03/2020 11:01",
