WDID,WDID Account ID,Structure Name,WDID Account Name,Source Code,Source Descr,From WDID,From WDID Account,From Structure,From WDID Account Name,Use Code,Use Descr,Type Code,Type Descr,Group WDID,Group Structure,To WDID,To WDID Account ID,To Structure Name,To WDID Account Name,Description,Water Class,Meas Interval,Aggregation Interval,Date,Amount,Obs Code,Units,Data Status,Modified,
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2022 00:00","1115.92","R","AF","Provisional","12/20/2022 15:35",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2022 00:00","747.6","R","AF","Provisional","12/20/2022 15:35",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2022 00:00","2659.87","R","AF","Provisional","12/20/2022 15:35",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2022 00:00","2557.92","R","AF","Provisional","12/20/2022 15:35",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2022 00:00","3332.28","R","AF","Provisional","12/20/2022 15:35",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2022 00:00","13610.78","R","AF","Provisional","12/20/2022 15:35",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","04/30/2022 00:00","8251.36","R","AF","Provisional","12/20/2022 15:35",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","03/31/2022 00:00","1333.71","R","AF","Provisional","12/20/2022 15:35",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","02/28/2022 00:00","0","R","AF","Provisional","12/20/2022 15:35",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","01/31/2022 00:00","0","R","AF","Provisional","12/20/2022 15:35",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","12/31/2021 00:00","0","R","AF","Provisional","12/20/2022 15:35",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","11/30/2021 00:00","0","R","AF","Provisional","12/20/2022 15:35",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2021 00:00","0","R","AF","Approved","12/21/2021 15:46",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2021 00:00","106.63","R","AF","Approved","12/21/2021 15:46",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2021 00:00","212.54","R","AF","Approved","12/21/2021 15:46",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2021 00:00","1513.41","R","AF","Approved","12/21/2021 15:46",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2021 00:00","7215.38","R","AF","Approved","12/21/2021 15:46",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2021 00:00","12119.19","R","AF","Approved","12/21/2021 15:46",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","04/30/2021 00:00","6257.15","R","AF","Approved","12/21/2021 15:46",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","03/31/2021 00:00","483.4","R","AF","Approved","12/21/2021 15:46",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","02/28/2021 00:00","0","R","AF","Approved","12/21/2021 15:46",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","01/31/2021 00:00","0","R","AF","Approved","12/21/2021 15:46",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","12/31/2020 00:00","0","R","AF","Approved","12/21/2021 15:46",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","11/30/2020 00:00","0","R","AF","Approved","12/21/2021 15:46",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2020 00:00","971.58","R","AF","Approved","12/04/2020 11:31",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2020 00:00","18.9","R","AF","Approved","12/04/2020 11:31",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2020 00:00","11.17","R","AF","Approved","12/04/2020 11:31",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2020 00:00","199.26","R","AF","Approved","12/04/2020 11:31",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2020 00:00","1375.52","R","AF","Approved","12/04/2020 11:31",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2020 00:00","7356.8","R","AF","Approved","01/20/2021 16:00",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","04/30/2020 00:00","6626.87","R","AF","Approved","12/04/2020 11:31",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","03/31/2020 00:00","906.8","R","AF","Approved","12/04/2020 11:31",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","02/29/2020 00:00","7.22","R","AF","Approved","12/04/2020 11:31",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","12/31/2019 00:00","27.57","R","AF","Approved","12/04/2020 11:31",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","11/30/2019 00:00","40.66","R","AF","Approved","12/04/2020 11:31",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2019 00:00","0","R","AF","Approved","12/23/2019 17:00",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2019 00:00","176.67","R","AF","Approved","12/23/2019 17:00",
"2904667","","USBR BLANCO R DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2019 00:00","3219.02","R","AF","Approved","12/23/2019 17:00",
