"","basin","report_year","report_month","swsi","nep","swsi_previous_month","change_from_previous_month","swsi_previous_year","change_from_previous_year"
"335","South Platte",2014,9,3.67,94.07,3.65,0.02,-2.75,6.42
"336","Yampa-White",2014,9,3.43,91.11,0.45,2.98,-1.07,4.5
"337","Arkansas",2014,10,0.77,59.23,0.39,0.38,-1.51,2.28
"338","Colorado",2014,10,2.21,76.57,2.43,-0.22,-0.09,2.3
"339","Gunnison",2014,10,-0.9,39.17,-1,0.1,-3.5,2.6
"340","Rio Grande",2014,10,-0.43,44.83,-0.38,-0.05,-1.93,1.5
"341","San Juan-Dolores",2014,10,-0.01,49.87,-0.24,0.23,-0.56,0.55
"342","South Platte",2014,10,4.04,98.51,3.67,0.37,-0.53,4.57
"343","Yampa-White",2014,10,4.04,98.51,3.43,0.61,2.82,1.22
"344","Arkansas",2014,11,0.84,60.08,0.77,0.07,-1.41,2.25
"345","Colorado",2014,11,1.43,67.16,2.21,-0.78,1.31,0.12
"346","Gunnison",2014,11,-0.21,47.45,-0.9,0.69,-3.43,3.22
"347","Rio Grande",2014,11,-0.02,49.78,-0.43,0.41,-1.51,1.49
"348","San Juan-Dolores",2014,11,0.39,54.71,-0.01,0.4,-0.21,0.6
"349","South Platte",2014,11,4.04,98.51,4.04,0,1.35,2.69
"350","Yampa-White",2014,11,4.04,98.51,4.04,0,2.57,1.47
"351","Arkansas",2014,12,0.87,60.44,0.84,0.03,-1.38,2.25
"352","Colorado",2014,12,2.11,75.3,1.43,0.68,2.46,-0.35
"353","Gunnison",2014,12,1.29,65.5,-0.21,1.5,-3.39,4.68
"354","Rio Grande",2014,12,0.96,61.54,-0.02,0.98,-0.61,1.57
"355","San Juan-Dolores",2014,12,0.3,53.61,0.39,-0.09,-0.03,0.33
"356","South Platte",2014,12,4.04,98.51,4.04,0,1.83,2.21
"357","Yampa-White",2014,12,3.9,96.85,4.04,-0.14,3.18,0.72
"358","Arkansas",2015,1,0.74,58.83,0.87,-0.13,-0.42,1.16
"359","Colorado",2015,1,0.92,61,2.11,-1.19,-0.54,1.46
"360","Gunnison",2015,1,0.54,56.53,1.29,-0.75,-0.47,1.01
"361","Rio Grande",2015,1,-1.24,35.07,0.96,-2.2,-0.31,-0.93
"362","San Juan-Dolores",2015,1,-1.27,34.73,0.3,-1.57,-0.23,-1.04
"363","South Platte",2015,1,2.36,78.34,4.04,-1.68,1,1.36
"364","Yampa-White",2015,1,-0.52,43.72,3.9,-4.42,-0.36,-0.16
"365","Arkansas",2015,2,0.14,51.64,0.74,-0.6,-0.22,0.36
"366","Colorado",2015,2,-0.56,43.31,0.92,-1.48,1.23,-1.79
"367","Gunnison",2015,2,-0.49,44.16,0.54,-1.03,-0.33,-0.16
"368","Rio Grande",2015,2,-1.79,28.48,-1.24,-0.55,-0.92,-0.87
"369","San Juan-Dolores",2015,2,-2.18,23.79,-1.27,-0.91,-0.72,-1.46
"370","South Platte",2015,2,1.82,71.79,2.36,-0.54,1.36,0.46
"371","Yampa-White",2015,2,-1.82,28.13,-0.52,-1.3,0.25,-2.07
"372","Arkansas",2015,3,0.1,51.23,0.14,-0.04,-0.26,0.36
"373","Colorado",2015,3,-0.39,45.37,-0.56,0.17,2.26,-2.65
"374","Gunnison",2015,3,-0.74,41.08,-0.49,-0.25,0.85,-1.59
"375","Rio Grande",2015,3,-1.14,36.29,-1.79,0.65,-0.93,-0.21
"376","San Juan-Dolores",2015,3,-1.64,30.38,-2.18,0.54,-0.67,-0.97
"377","South Platte",2015,3,2.05,74.65,1.82,0.23,2.04,0
"378","Yampa-White",2015,3,-1.81,28.28,-1.82,0.01,0.75,-2.56
"379","Arkansas",2015,4,-0.08,49.06,0.1,-0.18,-0.51,0.43
"380","Colorado",2015,4,-1.66,30.11,-0.39,-1.27,2.45,-4.11
"381","Gunnison",2015,4,-2.03,25.65,-0.74,-1.29,1.16,-3.19
"382","Rio Grande",2015,4,-2.52,19.78,-1.14,-1.38,-1.3,-1.22
"383","San Juan-Dolores",2015,4,-2.8,16.43,-1.64,-1.16,-1.22,-1.58
"384","South Platte",2015,4,1.28,65.34,2.05,-0.77,1.8,-0.52
"385","Yampa-White",2015,4,-2.65,18.15,-1.81,-0.84,2.06,-4.71
"386","Arkansas",2015,5,-0.06,49.29,-0.08,0.02,-0.69,0.63
"387","Colorado",2015,5,-1.76,28.82,-1.66,-0.1,1.94,-3.7
"388","Gunnison",2015,5,-2.3,22.45,-2.03,-0.27,0.23,-2.53
"389","Rio Grande",2015,5,-2.64,18.28,-2.52,-0.12,-1.27,-1.37
"390","San Juan-Dolores",2015,5,-3.03,13.61,-2.8,-0.23,-1.89,-1.14
"391","South Platte",2015,5,2.26,77.14,1.28,0.98,1.15,1.11
"392","Yampa-White",2015,5,-2.11,24.67,-2.65,0.54,3.03,-5.14
"393","Arkansas",2015,6,1.77,71.28,-0.06,1.83,-0.04,1.81
"394","Colorado",2015,6,0.44,55.24,-1.76,2.2,4.04,-3.6
"395","Gunnison",2015,6,0.39,54.63,-2.3,2.69,3.61,-3.22
"396","Rio Grande",2015,6,-1.56,31.3,-2.64,1.08,-2.54,0.98
"397","San Juan-Dolores",2015,6,-1.23,35.21,-3.03,1.8,1.23,-2.46
"398","South Platte",2015,6,3.65,93.77,2.26,1.39,3.72,-0.07
"399","Yampa-White",2015,6,-1.79,28.57,-2.11,0.32,1.44,-3.23
"400","Arkansas",2015,7,3.77,95.2,1.77,2,-0.09,3.86
"401","Colorado",2015,7,2.12,75.48,0.44,1.68,3.01,-0.89
"402","Gunnison",2015,7,2.54,80.43,0.39,2.15,0.9,1.64
"403","Rio Grande",2015,7,1.6,69.15,-1.56,3.16,-0.67,2.27
"404","San Juan-Dolores",2015,7,2.55,80.56,-1.23,3.78,-1.6,4.15
"405","South Platte",2015,7,3.95,97.44,3.65,0.3,3.07,0.88
"406","Yampa-White",2015,7,-0.67,41.98,-1.79,1.12,0.13,-0.8
"407","Arkansas",2015,8,3.48,91.79,3.77,-0.29,0.05,3.43
"408","Colorado",2015,8,0.29,53.45,2.12,-1.83,0.61,-0.32
"409","Gunnison",2015,8,1.94,73.23,2.54,-0.6,-0.59,2.53
"410","Rio Grande",2015,8,1.33,65.94,1.6,-0.27,-0.32,1.65
"411","San Juan-Dolores",2015,8,2.53,80.33,2.55,-0.02,-1.58,4.11
"412","South Platte",2015,8,3.66,93.98,3.95,-0.29,3.65,0.01
"413","Yampa-White",2015,8,0.29,53.49,-0.67,0.96,0.45,-0.16
"414","Arkansas",2015,10,2.81,83.72,2.57,0.24,0.76,2.04
"415","Colorado",2015,10,1.08,63.07,-0.27,1.36,2.21,-1.12
"416","Gunnison",2015,10,2.8,83.7,2.23,0.57,-0.9,3.71
"417","Rio Grande",2015,10,1.53,68.47,1.17,0.35,-0.43,1.96
"418","San Juan-Dolores",2015,10,1.56,68.78,1.13,0.43,-0.01,1.57
"419","South Platte",2015,10,2.96,85.61,3.03,-0.07,4.04,-1.07
"420","Yampa-White",2015,10,4.04,98.5,0.09,3.94,4.04,0
"421","Arkansas",2015,9,2.57,80.84,3.48,-0.91,0.39,2.17
"422","Colorado",2015,9,-0.27,46.72,0.28,-0.56,2.43,-2.7
"423","Gunnison",2015,9,2.23,76.87,1.93,0.3,-1,3.24
"424","Rio Grande",2015,9,1.17,64.15,1.32,-0.14,-0.37,1.55
"425","San Juan-Dolores",2015,9,1.15,63.86,2.52,-1.36,-0.23,1.38
"426","South Platte",2015,9,3.03,86.47,3.66,-0.62,3.67,-0.63
"427","Yampa-White",2015,9,0.34,54.15,0.29,0.05,3.42,-3.07
"428","Arkansas",2015,11,2.32,77.89,2.81,-0.48,0.84,1.48
"429","Colorado",2015,11,-0.19,47.67,1.08,-1.28,1.42,-1.62
"430","Gunnison",2015,11,1.74,70.93,2.8,-1.06,-0.21,1.95
"431","Rio Grande",2015,11,1.67,70.07,1.53,0.13,-0.01,1.69
"432","San Juan-Dolores",2015,11,1.28,65.39,1.56,-0.28,0.39,0.89
"433","South Platte",2015,11,2.36,78.43,2.96,-0.59,4.04,-1.67
"434","Yampa-White",2015,11,4.04,98.5,4.04,0,4.04,0
"435","Arkansas",2015,12,2.31,77.81,2.32,0,0.87,1.44
"436","Colorado",2015,12,0.27,53.26,-0.19,0.46,2.1,-1.83
"437","Gunnison",2015,12,2.55,80.67,1.74,0.81,1.29,1.26
"438","Rio Grande",2015,12,2.04,74.55,1.67,0.37,0.96,1.08
"439","San Juan-Dolores",2015,12,1.15,63.91,1.28,-0.12,0.3,0.85
"440","South Platte",2015,12,2.21,76.55,2.36,-0.15,4.04,-1.82
"441","Yampa-White",2015,12,4.04,98.5,4.04,0,3.9,0.13
"442","Arkansas",2016,1,2.08,75.01,2.31,-0.23,2.06,0.01
"443","Colorado",2016,1,-0.3,46.39,0.27,-0.57,0.61,-0.91
"444","Gunnison",2016,1,1.39,66.69,2.55,-1.16,0.46,0.93
"445","Rio Grande",2016,1,0.86,60.32,2.04,-1.18,0,0.85
"446","San Juan-Dolores",2016,1,1.21,64.6,1.15,0.05,-0.24,1.46
"447","South Platte",2016,1,1.09,63.17,2.21,-1.11,4.04,-2.94
"448","Yampa-White",2016,1,-0.65,42.12,4.04,-4.69,-0.99,0.34
"449","Arkansas",2016,2,2.09,75.17,2.08,0.01,2.09,0
"450","Colorado",2016,2,-0.1,48.7,-0.3,0.19,0.67,-0.78
"451","Gunnison",2016,2,1.5,68.07,1.38,0.12,0.6,0.89
"452","Rio Grande",2016,2,0.66,57.97,0.85,-0.19,0,0.65
"453","San Juan-Dolores",2016,2,1.23,64.86,1.21,0.02,-0.24,1.48
"454","South Platte",2016,2,0.96,61.54,1.09,-0.13,4.04,-3.08
"455","Yampa-White",2016,2,-0.6,42.78,-0.65,0.05,-0.99,0.39
"456","Arkansas",2016,3,2.02,74.34,2.09,-0.06,2.09,-0.06
"457","Colorado",2016,3,-0.8,40.39,-0.1,-0.69,0.74,-1.55
"458","Gunnison",2016,3,-0.15,48.12,1.5,-1.66,0.69,-0.84
"459","Rio Grande",2016,3,0.05,50.62,0.64,-0.59,0,0.04
"460","San Juan-Dolores",2016,3,0.25,53,1.24,-0.98,-0.22,0.47
"461","South Platte",2016,3,0.66,57.96,0.96,-0.29,4.04,-3.37
"462","Yampa-White",2016,3,-1.18,35.75,-0.6,-0.58,-0.99,-0.19
"463","Arkansas",2016,4,1.72,70.71,2.02,-0.3,2.09,-0.36
"464","Colorado",2016,4,-0.63,42.33,-0.8,0.16,0.76,-1.4
"465","Gunnison",2016,4,-0.14,48.23,-0.15,0,0.88,-1.03
"466","Rio Grande",2016,4,-0.79,40.49,0.05,-0.84,0.03,-0.82
"467","San Juan-Dolores",2016,4,-0.69,41.63,0.25,-0.94,-0.2,-0.48
"468","South Platte",2016,4,1.06,62.73,0.66,0.39,4.04,-2.98
"469","Yampa-White",2016,4,-0.63,42.34,-1.18,0.54,-0.99,0.35
"470","Arkansas",2016,5,1.8,71.7,1.72,0.08,1.95,-0.14
"471","Colorado",2016,5,-0.64,42.23,-0.63,0,0.74,-1.38
"472","Gunnison",2016,5,0.06,50.72,-0.14,0.2,1.61,-1.55
"473","Rio Grande",2016,5,-0.65,42.17,-0.79,0.13,0.13,-0.78
"474","San Juan-Dolores",2016,5,-0.54,43.49,-0.69,0.15,0.26,-0.81
"475","South Platte",2016,5,2.07,74.95,1.09,0.98,4.04,-1.96
"476","Yampa-White",2016,5,-0.37,45.53,-0.63,0.26,-0.67,0.29
"477","Arkansas",2016,6,1.84,72.12,1.87,-0.02,2.96,-1.12
"478","Colorado",2016,6,0.05,50.67,0.27,-0.21,1.55,-1.5
"479","Gunnison",2016,6,0.33,54,1.63,-1.29,3.01,-2.67
"480","Rio Grande",2016,6,-0.47,44.28,-0.19,-0.27,0.93,-1.4
"481","San Juan-Dolores",2016,6,0.38,54.57,0.11,0.26,1.33,-0.95
"482","South Platte",2016,6,1.89,72.78,1.51,0.38,3.96,-2.06
"483","Yampa-White",2016,6,0.46,55.56,0.26,0.2,-0.47,0.93
"484","Arkansas",2016,7,2.35,78.23,1.84,0.5,3.76,-1.41
"485","Colorado",2016,7,1.64,69.78,0.05,1.59,2.11,-0.46
"486","Gunnison",2016,7,1.47,67.71,0.33,1.14,2.42,-0.94
"487","Rio Grande",2016,7,0.9,60.83,-0.47,1.37,1.59,-0.69
"488","San Juan-Dolores",2016,7,1.5,68.07,0.38,1.12,2.67,-1.17
"489","South Platte",2016,7,2.5,80.02,1.89,0.6,3.95,-1.45
"490","Yampa-White",2016,7,0.21,52.55,0.46,-0.25,-0.66,0.88
"491","Arkansas",2016,8,1.91,73,2.35,-0.43,3.48,-1.56
"492","Colorado",2016,8,-0.04,49.45,1.71,-1.75,0.25,-0.3
"493","Gunnison",2016,8,-0.13,48.34,1.47,-1.61,1.93,-2.07
"494","Rio Grande",2016,8,0.55,56.63,0.9,-0.35,1.31,-0.76
"495","San Juan-Dolores",2016,8,1.38,66.59,1.53,-0.14,2.52,-1.14
"496","South Platte",2016,8,1.78,71.41,2.5,-0.72,3.66,-1.88
"497","Yampa-White",2016,8,-0.32,46.07,0.2,-0.52,0.29,-0.61
"498","Arkansas",2016,9,2.01,74.14,1.91,0.09,2.56,-0.55
"499","Colorado",2016,9,-0.22,47.26,-0.04,-0.18,-0.44,0.21
"500","Gunnison",2016,9,0.65,57.84,-0.11,0.77,2.2,-1.54
"501","Rio Grande",2016,9,1.26,65.14,0.56,0.7,1.16,0.1
"502","San Juan-Dolores",2016,9,2.22,76.68,1.37,0.84,1.09,1.12
"503","South Platte",2016,9,2.22,76.67,1.81,0.41,3.04,-0.82
"504","Yampa-White",2016,9,-0.45,44.53,-0.33,-0.12,0.33,-0.79
"505","Arkansas",2016,10,2.01,74.18,2.01,0,2.81,-0.79
"506","Colorado",2016,10,0.96,61.55,-0.28,1.24,1.08,-0.12
"507","Gunnison",2016,10,-0.09,48.9,0.65,-0.74,2.8,-2.9
"508","Rio Grande",2016,10,1.83,72.07,1.26,0.57,1.52,0.31
"509","San Juan-Dolores",2016,10,2.08,75.07,2.21,-0.12,1.55,0.53
"510","South Platte",2016,10,2.78,83.43,2.22,0.56,3.02,-0.24
"511","Yampa-White",2016,10,3.59,93.11,-0.44,4.03,4.04,-0.44
"512","Arkansas",2016,11,2.01,74.22,2.01,0,2.32,-0.3
"513","Colorado",2016,11,0,49.95,0.96,-0.96,-0.19,0.18
"514","Gunnison",2016,11,-0.49,44.03,-0.08,-0.4,1.74,-2.24
"515","Rio Grande",2016,11,2.01,74.2,1.87,0.14,1.65,0.35
"516","San Juan-Dolores",2016,11,2.5,80.01,2.08,0.41,1.28,1.22
"517","South Platte",2016,11,1.75,71.01,2.78,-1.03,2.6,-0.85
"518","Yampa-White",2016,11,3.83,95.98,3.59,0.23,4.04,-0.2
"519","Arkansas",2016,12,2,74.05,2.01,-0.01,2.31,-0.31
"520","Colorado",2016,12,0.52,56.27,0,0.52,0.27,0.25
"521","Gunnison",2016,12,-0.23,47.14,-0.49,0.25,2.55,-2.79
"522","Rio Grande",2016,12,1.99,73.88,2.01,-0.02,2.04,-0.05
"523","San Juan-Dolores",2016,12,2.78,83.41,2.5,0.28,1.15,1.62
"524","South Platte",2016,12,1.78,71.4,1.75,0.03,2.62,-0.84
"525","Yampa-White",2016,12,4.02,98.3,3.83,0.19,4.04,-0.01
"526","Arkansas",2017,1,1.65,69.91,2,-0.34,2.03,-0.37
"527","Colorado",2017,1,0,50.08,0.52,-0.51,-0.18,0.19
"528","Gunnison",2017,1,0.52,56.34,-0.23,0.76,0.29,0.23
"529","Rio Grande",2017,1,-0.18,47.79,1.99,-2.17,0.39,-0.58
"530","San Juan-Dolores",2017,1,0.67,58.11,2.78,-2.1,-0.52,1.19
"531","South Platte",2017,1,0.89,60.7,1.78,-0.89,1.88,-0.99
"532","Yampa-White",2017,1,-0.57,43.07,4.02,-4.6,0.36,-0.94
"533","Arkansas",2017,2,2.04,74.48,1.65,0.38,2.05,-0.01
"534","Colorado",2017,2,2.49,79.97,0,2.49,-0.17,2.67
"535","Gunnison",2017,2,2.88,84.66,0.52,2.36,-0.07,2.96
"536","Rio Grande",2017,2,1.65,69.91,-0.18,1.84,0.38,1.27
"537","San Juan-Dolores",2017,2,2.37,78.46,0.67,1.69,-0.52,2.89
"538","South Platte",2017,2,1.71,70.57,0.89,0.82,1.81,-0.1
"539","Yampa-White",2017,2,0.63,57.64,-0.57,1.21,0.36,0.27
"540","Arkansas",2017,3,1.74,70.9,2.04,-0.29,2.04,-0.3
"541","Colorado",2017,3,2.48,79.87,2.49,0,-0.16,2.65
"542","Gunnison",2017,3,2.94,85.38,2.88,0.05,0.02,2.91
"543","Rio Grande",2017,3,1.46,67.61,1.65,-0.19,0.4,1.06
"544","San Juan-Dolores",2017,3,2.22,76.71,2.37,-0.14,-0.52,2.74
"545","South Platte",2017,3,1.6,69.29,1.69,-0.09,1.76,-0.16
"546","Yampa-White",2017,3,0.4,54.85,0.63,-0.23,0.36,0.04
"547","Arkansas",2017,4,1.6,69.24,1.74,-0.13,1.91,-0.31
"548","Colorado",2017,4,1.26,65.12,2.48,-1.22,-0.15,1.41
"549","Gunnison",2017,4,2.67,82.14,2.94,-0.26,0.08,2.59
"550","Rio Grande",2017,4,0.86,60.36,1.46,-0.6,0.38,0.48
"551","San Juan-Dolores",2017,4,1.61,69.33,2.22,-0.61,-0.54,2.15
"552","South Platte",2017,4,1.01,62.2,1.6,-0.59,1.76,-0.74
"553","Yampa-White",2017,4,-0.69,41.68,0.4,-1.09,0.36,-1.05
"554","Arkansas",2017,5,1.66,69.96,1.6,0.06,1.79,-0.13
"555","Colorado",2017,5,1.5,68,1.26,0.23,0.19,1.3
"556","Gunnison",2017,5,3.27,89.25,2.67,0.59,0.05,3.21
"557","Rio Grande",2017,5,0.91,61.03,0.86,0.05,0.39,0.52
"558","San Juan-Dolores",2017,5,1.71,70.52,1.61,0.09,-0.16,1.87
"559","South Platte",2017,5,0.92,61.05,1.01,-0.09,2.01,-1.08
"560","Yampa-White",2017,5,-0.31,46.16,-0.69,0.37,0.14,-0.46
"561","Arkansas",2017,6,1.93,73.27,1.71,0.22,1.88,0.05
"562","Colorado",2017,6,1.47,67.68,1.5,-0.02,0.43,1.03
"563","Gunnison",2017,6,1.49,67.91,3.27,-1.77,0.39,1.09
"564","Rio Grande",2017,6,0.61,57.4,0.96,-0.34,0.7,-0.08
"565","San Juan-Dolores",2017,6,1.18,64.21,1.4,-0.22,1.19,-0.01
"566","South Platte",2017,6,2.31,77.82,1.01,1.3,1.9,0.41
"567","Yampa-White",2017,6,-0.49,44.06,-0.31,-0.17,-0.29,-0.2
"568","Arkansas",2017,7,2.85,84.29,1.93,0.91,2.35,0.5
"569","Colorado",2017,7,0.86,60.41,1.5,-0.63,1.71,-0.85
"570","Gunnison",2017,7,2.34,78.13,1.49,0.85,1.49,0.85
"571","Rio Grande",2017,7,1.1,63.26,0.61,0.48,0.9,0.19
"572","San Juan-Dolores",2017,7,1.77,71.31,1.18,0.59,1.52,0.25
"573","South Platte",2017,7,2.45,79.43,2.25,0.19,2.56,-0.11
"574","Yampa-White",2017,7,-0.6,42.79,-0.49,-0.1,0.38,-0.98
"575","Arkansas",2017,8,2.65,81.83,2.85,-0.2,1.91,0.73
"576","Colorado",2017,8,0.07,50.93,0.86,-0.79,-0.04,0.12
"577","Gunnison",2017,8,1.9,72.82,2.14,-0.23,-0.11,2.01
"578","Rio Grande",2017,8,1.48,67.79,1.1,0.37,0.56,0.91
"579","San Juan-Dolores",2017,8,2.44,79.35,1.79,0.65,1.41,1.03
"580","South Platte",2017,8,2.53,80.44,2.45,0.08,1.82,0.71
"581","Yampa-White",2017,8,-0.38,45.41,-0.62,0.24,-0.33,-0.05
"582","Arkansas",2017,9,3.14,87.68,2.65,0.48,2.01,1.12
"583","Colorado",2017,9,0.73,58.83,0.07,0.65,-0.27,1.01
"584","Gunnison",2017,9,3.01,86.19,1.95,1.06,0.66,2.35
"585","Rio Grande",2017,9,2.95,85.41,1.48,1.46,1.25,1.69
"586","San Juan-Dolores",2017,9,2.51,80.2,2.46,0.05,2.17,0.34
"587","South Platte",2017,9,3.1,87.22,2.55,0.54,2.22,0.88
"588","Yampa-White",2017,9,0.51,56.13,-0.37,0.88,-0.48,0.99
"589","Arkansas",2017,10,2.89,84.68,3.14,-0.24,2.01,0.87
"590","Colorado",2017,10,0.71,58.59,0.73,-0.01,0.96,-0.25
"591","Gunnison",2017,10,2.89,84.7,3.02,-0.13,-0.09,2.99
"592","Rio Grande",2017,10,3.13,87.65,3,0.13,1.8,1.32
"593","San Juan-Dolores",2017,10,2.02,74.31,2.51,-0.48,2.09,-0.06
"594","South Platte",2017,10,3.11,87.34,3.1,0.01,2.78,0.32
"595","Yampa-White",2017,10,3.45,91.41,0.5,2.95,3.51,-0.06
"596","Arkansas",2017,11,3.02,86.34,2.9,0.12,2.03,0.99
"597","Colorado",2017,11,-0.18,47.77,0.69,-0.87,0,-0.19
"598","Gunnison",2017,11,2.42,79.09,2.89,-0.46,-0.97,3.39
"599","Rio Grande",2017,11,3.12,87.44,3.12,0,2.01,1.1
"600","San Juan-Dolores",2017,11,1.66,69.97,2.02,-0.36,2.5,-0.83
"601","South Platte",2017,11,3.17,88.07,3.13,0.03,2.07,1.09
"602","Yampa-White",2017,11,3.77,95.27,3.45,0.32,3.85,-0.07
"603","Arkansas",2017,12,2.9,84.87,3.02,-0.12,2.01,0.89
"604","Colorado",2017,12,0.28,53.37,-0.18,0.46,0.52,-0.24
"605","Gunnison",2017,12,2.73,82.77,2.42,0.3,-0.24,2.97
"606","Rio Grande",2017,12,3.1,87.24,3.12,-0.01,1.97,1.12
"607","San Juan-Dolores",2017,12,1.68,70.16,1.66,0.01,2.78,-1.1
"608","South Platte",2017,12,3.44,91.39,3.17,0.27,1.67,1.77
"609","Yampa-White",2017,12,3.78,95.44,3.77,0.01,3.85,-0.06
"610","Arkansas",2018,1,1.99,73.89,2.9,-0.91,2.06,-0.06
"611","Colorado",2018,1,-2.16,24,0.28,-2.44,-0.39,-1.77
"612","Gunnison",2018,1,-2.86,15.59,2.73,-5.59,1.77,-4.64
"613","Rio Grande",2018,1,-3.01,13.82,3.1,-6.11,1.17,-4.19
"614","San Juan-Dolores",2018,1,-2.85,15.76,1.68,-4.53,1.38,-4.23
"615","South Platte",2018,1,1.31,65.77,3.44,-2.13,1.56,-0.24
"616","Yampa-White",2018,1,-1.95,26.49,3.78,-5.74,-0.95,-1
"617","Arkansas",2018,2,1.98,73.83,1.99,0,2.07,-0.08
"618","Colorado",2018,2,-2.37,21.51,-2.16,-0.2,-0.4,-1.97
"619","Gunnison",2018,2,-3.15,12.14,-2.86,-0.28,1.96,-5.12
"620","Rio Grande",2018,2,-3.18,11.72,-3.01,-0.17,1.18,-4.37
"621","San Juan-Dolores",2018,2,-2.95,14.54,-2.85,-0.1,1.38,-4.34
"622","South Platte",2018,2,1.19,64.28,1.31,-0.12,1.48,-0.29
"623","Yampa-White",2018,2,-2.27,22.65,-1.95,-0.31,-0.95,-1.32
"624","Arkansas",2018,3,1.72,70.75,1.98,-0.25,2.05,-0.32
"625","Colorado",2018,3,-2.25,22.9,-2.37,0.11,-0.38,-1.87
"626","Gunnison",2018,3,-3.1,12.68,-3.15,0.04,2,-5.11
"627","Rio Grande",2018,3,-2.43,20.74,-3.18,0.75,1.19,-3.63
"628","San Juan-Dolores",2018,3,-2.84,15.83,-2.95,0.1,1.37,-4.22
"629","South Platte",2018,3,1.25,65,1.19,0.06,1.47,-0.22
"630","Yampa-White",2018,3,-1.98,26.16,-2.27,0.29,-0.95,-1.03
"631","Arkansas",2018,4,1.65,69.9,1.72,-0.07,1.92,-0.26
"632","Colorado",2018,4,-2.93,14.83,-2.25,-0.67,-0.37,-2.55
"633","Gunnison",2018,4,-3.53,7.62,-3.1,-0.42,2.05,-5.58
"634","Rio Grande",2018,4,-3.24,11.02,-2.43,-0.81,1.23,-4.48
"635","San Juan-Dolores",2018,4,-3.14,12.24,-2.84,-0.29,1.48,-4.63
"636","South Platte",2018,4,1.09,63.12,1.22,-0.13,1.37,-0.28
"637","Yampa-White",2018,4,-2.08,25,-1.98,-0.09,-0.95,-1.12
"638","Arkansas",2018,5,1.59,69.17,1.65,-0.06,1.86,-0.26
"639","Colorado",2018,5,-1.74,29.1,-2.93,1.18,-0.55,-1.18
"640","Gunnison",2018,5,-3.48,8.18,-3.53,0.04,1.8,-5.28
"641","Rio Grande",2018,5,-3.67,5.84,-3.24,-0.43,0.76,-4.44
"642","San Juan-Dolores",2018,5,-3.31,10.22,-3.14,-0.16,1.05,-4.36
"643","South Platte",2018,5,0.23,52.85,1.09,-0.85,1.47,-1.24
"644","Yampa-White",2018,5,-1.53,31.54,-2.08,0.54,-1.01,-0.51
"645","Arkansas",2018,6,1.4,66.82,1.63,-0.23,2.72,-1.32
"646","Colorado",2018,6,-3.53,7.57,-1.74,-1.79,0.09,-3.63
"647","Gunnison",2018,6,-3.65,6.1,-3.48,-0.17,1.86,-5.52
"648","Rio Grande",2018,6,-3.67,5.84,-3.77,0.09,0.87,-4.55
"649","San Juan-Dolores",2018,6,-3.34,9.84,-3.33,-0.01,1.29,-4.64
"650","South Platte",2018,6,1.27,65.24,0.27,0.99,2,-0.73
"651","Yampa-White",2018,6,-2.59,18.86,-1.53,-1.05,-0.52,-2.07
"652","Arkansas",2018,7,0.61,57.33,1.4,-0.79,2.85,-2.24
"653","Colorado",2018,7,-3.59,6.89,-3.53,-0.05,0.72,-4.31
"654","Gunnison",2018,7,-3.68,5.74,-3.65,-0.03,1.76,-5.44
"655","Rio Grande",2018,7,-3.64,6.25,-3.67,0.03,1.13,-4.77
"656","San Juan-Dolores",2018,7,-3.35,9.69,-3.34,-0.01,1.82,-5.18
"657","South Platte",2018,7,-0.14,48.22,1.27,-1.41,2.38,-2.52
"658","Yampa-White",2018,7,-3.59,6.86,-2.59,-1,-0.63,-2.96
"659","Arkansas",2018,8,1.58,69.02,0.61,0.97,2.67,-1.09
"660","Colorado",2018,8,-3.65,6.19,-3.59,-0.05,0.07,-3.72
"661","Gunnison",2018,8,-3.75,4.92,-3.68,-0.06,1.76,-5.52
"662","Rio Grande",2018,8,-1.77,28.73,-3.64,1.87,1.48,-3.26
"663","San Juan-Dolores",2018,8,-2.56,19.17,-3.35,0.78,2.46,-5.03
"664","South Platte",2018,8,-0.23,47.14,-0.14,-0.08,2.57,-2.8
"665","Yampa-White",2018,8,-3.43,8.76,-3.59,0.15,-0.37,-3.06
"666","Arkansas",2018,9,1.8,71.65,1.58,0.21,3.12,-1.32
"667","Colorado",2018,9,-3.56,7.19,-3.65,0.08,0.98,-4.54
"668","Gunnison",2018,9,-3.75,4.97,-3.75,0,3.02,-6.77
"669","Rio Grande",2018,9,-1.99,26.11,-1.77,-0.21,2.78,-4.77
"670","San Juan-Dolores",2018,9,-2.26,22.85,-2.56,0.3,2.52,-4.79
"671","South Platte",2018,9,0.56,56.75,-0.23,0.8,3.09,-2.53
"672","Yampa-White",2018,9,-2.69,17.63,-3.43,0.74,0.49,-3.19
"673","Arkansas",2018,10,1.95,73.45,1.81,0.14,2.9,-0.94
"674","Colorado",2018,10,-3.13,12.36,-3.57,0.43,0.83,-3.97
"675","Gunnison",2018,10,-3.82,4.1,-3.75,-0.07,2.88,-6.7
"676","Rio Grande",2018,10,1.54,68.52,-1.71,3.25,3.14,-1.6
"677","San Juan-Dolores",2018,10,-0.9,39.18,-2.25,1.35,2.02,-2.92
"678","South Platte",2018,10,-0.1,48.7,0.56,-0.67,3.11,-3.22
"679","Yampa-White",2018,10,0.82,59.95,-2.63,3.46,3.3,-2.47
