"","basin","report_year","report_month","swsi","nep","swsi_previous_month","change_from_previous_month","swsi_previous_year","change_from_previous_year"
"70","Yampa-White",2011,7,4.04,98.51,4.04,0,2.38,1.66
"71","Arkansas",2011,8,1.56,68.7,0,1.56,0.52,1.04
"72","Colorado",2011,8,3.98,97.81,4.04,-0.06,-0.31,4.29
"73","Gunnison",2011,8,3.63,93.53,3.27,0.36,-1.14,4.77
"74","Rio Grande",2011,8,0.16,51.94,0.33,-0.17,-1.55,1.71
"75","San Juan-Dolores",2011,8,2.46,79.47,2.48,-0.02,-0.73,3.19
"76","South Platte",2011,8,4.02,98.26,2.1,1.92,1.97,2.05
"77","Yampa-White",2011,8,4.04,98.51,4.04,0,-0.1,4.14
"78","Arkansas",2011,9,0.46,55.53,1.56,-1.1,1.55,-1.09
"79","Colorado",2011,9,3.39,90.71,3.98,-0.59,1.55,1.84
"80","Gunnison",2011,9,2.5,79.98,3.63,-1.13,0.52,1.98
"81","Rio Grande",2011,9,-1.54,31.49,0.16,-1.7,-0.73,-0.81
"82","San Juan-Dolores",2011,9,0.96,61.49,2.46,-1.5,1.76,-0.8
"83","South Platte",2011,9,3.2,88.42,4.02,-0.81,2.8,0.4
"84","Yampa-White",2011,9,4.04,98.51,4.04,0,1.14,2.9
"85","Arkansas",2011,10,0.88,60.55,0.46,0.42,1.76,-0.88
"86","Colorado",2011,10,3.56,92.71,3.39,0.17,1.58,1.98
"87","Gunnison",2011,10,2.05,74.62,2.5,-0.45,-1.42,3.47
"88","Rio Grande",2011,10,-0.66,42.09,-1.54,0.88,-0.68,0.02
"89","San Juan-Dolores",2011,10,1.62,69.47,0.96,0.66,1.58,0.04
"90","South Platte",2011,10,3.34,90.06,3.2,0.14,2.74,0.6
"91","Yampa-White",2011,10,3.6,93.18,4.04,-0.44,0.01,3.59
"92","Arkansas",2011,11,0.96,61.51,0.88,0.08,1.35,-0.39
"93","Colorado",2011,11,3.04,86.53,3.56,-0.52,0.59,2.45
"94","Gunnison",2011,11,1.41,66.91,2.05,-0.64,-1.71,3.12
"95","Rio Grande",2011,11,-0.38,45.48,-0.66,0.28,-0.27,-0.11
"96","San Juan-Dolores",2011,11,1.51,68.15,1.62,-0.11,1.37,0.14
"97","South Platte",2011,11,3.1,87.17,3.34,-0.24,1.5,1.6
"98","Yampa-White",2011,11,3.63,93.56,3.6,0.02,0,3.63
"99","Arkansas",2011,12,0.81,59.69,0.96,-0.15,1.16,-0.35
"100","Colorado",2011,12,3.54,92.51,3.04,0.5,1.59,1.95
"101","Gunnison",2011,12,2.47,79.62,1.41,1.06,-1.34,3.81
"102","Rio Grande",2011,12,-0.68,41.86,-0.38,-0.3,-0.36,-0.32
"103","San Juan-Dolores",2011,12,1.57,68.82,1.51,0.06,1.2,0.37
"104","South Platte",2011,12,3.49,91.84,3.1,0.39,1.81,1.68
"105","Yampa-White",2011,12,3.74,94.85,3.63,0.11,0,3.74
"106","Arkansas",2012,1,-0.01,49.93,0.81,-0.82,1.28,-1.29
"107","Colorado",2012,1,-1.97,26.35,3.54,-5.51,2.13,-4.1
"108","Gunnison",2012,1,-1.8,28.44,2.47,-4.27,2.09,-3.89
"109","Rio Grande",2012,1,-0.16,48.1,-0.68,0.52,0.56,-0.72
"110","San Juan-Dolores",2012,1,-0.43,44.86,1.57,-2,1.4,-1.83
"111","South Platte",2012,1,1.12,63.4,3.49,-2.37,2.05,-0.93
"112","Yampa-White",2012,1,-1.65,30.24,3.74,-5.39,2.59,-4.24
"113","Arkansas",2012,2,-0.16,48.1,-0.01,-0.15,0.92,-1.08
"114","Colorado",2012,2,-1.75,28.96,-1.97,0.22,2.35,-4.1
"115","Gunnison",2012,2,-1.83,28.08,-1.8,-0.03,1.93,-3.76
"116","Rio Grande",2012,2,-0.78,40.64,-0.16,-0.62,-0.44,-0.34
"117","San Juan-Dolores",2012,2,-0.56,43.29,-0.43,-0.13,0.79,-1.35
"118","South Platte",2012,2,1.03,62.37,1.12,-0.09,2.04,-1.01
"119","Yampa-White",2012,2,-1.88,27.48,-1.65,-0.23,2.5,-4.38
"120","Arkansas",2012,3,-0.31,46.25,-0.16,-0.15,1.26,-1.57
"121","Colorado",2012,3,-1.71,29.49,-1.75,0.04,2.47,-4.18
"122","Gunnison",2012,3,-1.33,34.06,-1.83,0.5,2.03,-3.36
"123","Rio Grande",2012,3,-0.28,46.59,-0.78,0.5,-0.85,0.57
"124","San Juan-Dolores",2012,3,-0.24,47.18,-0.56,0.32,0.44,-0.68
"125","South Platte",2012,3,1.18,64.2,1.03,0.15,2.6,-1.42
"126","Yampa-White",2012,3,-1.26,34.86,-1.88,0.62,2.82,-4.08
"127","Arkansas",2012,4,-1.14,36.35,-0.31,-0.83,1.16,-2.3
"128","Colorado",2012,4,-3.35,9.83,-1.71,-1.64,2.89,-6.24
"129","Gunnison",2012,4,-2.8,16.4,-1.33,-1.47,1.92,-4.72
"130","Rio Grande",2012,4,-1.84,27.97,-0.28,-1.56,-1.47,-0.37
"131","San Juan-Dolores",2012,4,-1.92,26.99,-0.24,-1.68,-0.61,-1.31
"132","South Platte",2012,4,-0.74,41.15,1.18,-1.92,2.69,-3.43
"133","Yampa-White",2012,4,-3.23,11.28,-1.26,-1.97,3.85,-7.08
"134","Arkansas",2012,5,-1.93,26.87,-1.14,-0.79,1.58,-3.51
"135","Colorado",2012,5,-3.44,8.78,-3.35,-0.08,3.94,-7.38
"136","Gunnison",2012,5,-3.24,11.07,-2.8,-0.44,3.33,-6.57
"137","Rio Grande",2012,5,-3.67,5.9,-1.84,-1.83,-0.9,-2.77
"138","San Juan-Dolores",2012,5,-1.5,31.98,-1.92,0.42,0.95,-2.45
"139","South Platte",2012,5,-2.6,18.76,-0.74,-1.86,3.03,-5.63
"140","Yampa-White",2012,5,-3.73,5.2,-3.23,-0.5,4.04,-7.77
"141","Arkansas",2012,6,-1.2,35.59,-1.93,0.73,1.41,-2.61
"142","Colorado",2012,6,-1.71,29.51,-3.44,1.73,4.04,-5.75
"143","Gunnison",2012,6,-2.19,23.66,-3.24,1.05,3.24,-5.43
"144","Rio Grande",2012,6,0.61,57.35,-3.67,4.28,0.72,-0.11
"145","San Juan-Dolores",2012,6,1.25,64.98,-1.5,2.75,3.69,-2.44
"146","South Platte",2012,6,-1.94,26.78,-2.6,0.66,3.97,-5.91
"147","Yampa-White",2012,6,-0.78,40.62,-3.73,2.95,4.04,-4.82
"148","Arkansas",2012,7,-2.19,23.73,-1.2,-0.99,0,-2.19
"149","Colorado",2012,7,-3.84,3.87,-1.71,-2.13,4.04,-7.88
"150","Gunnison",2012,7,-3.67,5.97,-2.19,-1.48,3.27,-6.94
"151","Rio Grande",2012,7,-3.66,6.08,0.61,-4.27,0.33,-3.99
"152","San Juan-Dolores",2012,7,-2.79,16.52,1.25,-4.04,2.48,-5.27
"153","South Platte",2012,7,-3.63,6.46,-1.94,-1.69,2.1,-5.73
"154","Yampa-White",2012,7,-4.04,1.49,-0.78,-3.26,4.04,-8.08
"155","Arkansas",2012,8,-2.08,25.01,-2.19,0.11,1.56,-3.64
"156","Colorado",2012,8,-3.67,5.95,-3.84,0.17,3.98,-7.65
"157","Gunnison",2012,8,-3.64,6.31,-3.67,0.02,3.63,-7.27
"158","Rio Grande",2012,8,-2.91,15.08,-3.66,0.75,0.16,-3.07
"159","San Juan-Dolores",2012,8,-1.92,27,-2.79,0.87,2.46,-4.38
"160","South Platte",2012,8,-3.63,6.4,-3.63,0,4.02,-7.65
