abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified,
"BOCBGRCO","=""11/18/1986 00:00""","87.2","cfs","","","=""11/18/1986 23:45""",
"BOCBGRCO","=""11/19/1986 00:00""","87.2","cfs","","","=""11/19/1986 23:45""",
"BOCBGRCO","=""11/20/1986 00:00""","87.2","cfs","","","=""11/20/1986 23:45""",
"BOCBGRCO","=""11/21/1986 00:00""","91.8","cfs","","","=""11/21/1986 23:45""",
"BOCBGRCO","=""11/22/1986 00:00""","94.7","cfs","","","=""11/22/1986 23:45""",
"BOCBGRCO","=""11/23/1986 00:00""","94.7","cfs","","","=""11/23/1986 23:45""",
"BOCBGRCO","=""11/24/1986 00:00""","94.7","cfs","","Obs*","=""11/24/1986 23:45""",
"BOCBGRCO","=""11/25/1986 00:00""","94.7","cfs","","","=""11/25/1986 23:45""",
"BOCBGRCO","=""11/26/1986 00:00""","94.7","cfs","","","=""11/26/1986 23:45""",
"BOCBGRCO","=""11/27/1986 00:00""","94.7","cfs","","","=""11/27/1986 23:45""",
"BOCBGRCO","=""11/28/1986 00:00""","94.7","cfs","","","=""11/28/1986 23:45""",
"BOCBGRCO","=""11/29/1986 00:00""","94.7","cfs","","","=""11/29/1986 23:45""",
"BOCBGRCO","=""11/30/1986 00:00""","94.7","cfs","","","=""11/30/1986 11:00""",
"BOCBGRCO","=""12/01/1986 00:00""","94.7","cfs","","","=""12/01/1986 23:45""",
"BOCBGRCO","=""12/02/1986 00:00""","94.7","cfs","","","=""12/02/1986 23:45""",
"BOCBGRCO","=""12/03/1986 00:00""","94.7","cfs","","","=""12/03/1986 23:45""",
"BOCBGRCO","=""12/04/1986 00:00""","89.2","cfs","","","=""12/04/1986 23:45""",
"BOCBGRCO","=""12/05/1986 00:00""","85.8","cfs","","","=""12/05/1986 23:45""",
"BOCBGRCO","=""12/06/1986 00:00""","85.8","cfs","","","=""12/06/1986 23:45""",
"BOCBGRCO","=""12/07/1986 00:00""","85.8","cfs","","","=""12/07/1986 23:45""",
"BOCBGRCO","=""12/08/1986 00:00""","85.8","cfs","","","=""12/08/1986 23:45""",
"BOCBGRCO","=""12/09/1986 00:00""","85.8","cfs","","","=""12/09/1986 23:45""",
"BOCBGRCO","=""12/10/1986 00:00""","85.8","cfs","","","=""12/10/1986 23:45""",
"BOCBGRCO","=""12/11/1986 00:00""","83","cfs","","","=""12/11/1986 23:45""",
"BOCBGRCO","=""12/12/1986 00:00""","81.4","cfs","","","=""12/12/1986 23:45""",
"BOCBGRCO","=""12/13/1986 00:00""","81.4","cfs","","","=""12/13/1986 23:45""",
"BOCBGRCO","=""12/14/1986 00:00""","81.4","cfs","","","=""12/14/1986 23:45""",
"BOCBGRCO","=""12/15/1986 00:00""","81.4","cfs","","","=""12/15/1986 23:45""",
"BOCBGRCO","=""12/16/1986 00:00""","81.4","cfs","","","=""12/16/1986 23:45""",
"BOCBGRCO","=""12/17/1986 00:00""","81.4","cfs","","","=""12/17/1986 23:45""",
"BOCBGRCO","=""12/18/1986 00:00""","81.4","cfs","","","=""12/18/1986 23:45""",
"BOCBGRCO","=""12/19/1986 00:00""","81.4","cfs","","","=""12/19/1986 23:45""",
"BOCBGRCO","=""12/20/1986 00:00""","81.4","cfs","","","=""12/20/1986 23:45""",
"BOCBGRCO","=""12/21/1986 00:00""","81.4","cfs","","","=""12/21/1986 23:45""",
"BOCBGRCO","=""12/22/1986 00:00""","81.2","cfs","","","=""12/22/1986 23:45""",
"BOCBGRCO","=""12/23/1986 00:00""","83.9","cfs","","","=""12/23/1986 23:45""",
"BOCBGRCO","=""12/24/1986 00:00""","85.8","cfs","","","=""12/24/1986 23:45""",
"BOCBGRCO","=""12/25/1986 00:00""","85.8","cfs","","","=""12/25/1986 23:45""",
"BOCBGRCO","=""12/26/1986 00:00""","85.8","cfs","","","=""12/26/1986 23:45""",
