abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified,
"BOCBGRCO","=""02/08/1992 00:00""","6.61","cfs","","","=""02/08/1992 23:00""",
"BOCBGRCO","=""02/09/1992 00:00""","5.56","cfs","","","=""02/09/1992 23:00""",
"BOCBGRCO","=""02/10/1992 00:00""","5.56","cfs","","Obs*","=""02/10/1992 23:00""",
"BOCBGRCO","=""02/11/1992 00:00""","5.56","cfs","","~","=""02/11/1992 23:00""",
"BOCBGRCO","=""02/12/1992 00:00""","6.62","cfs","","Obs*","=""02/12/1992 23:00""",
"BOCBGRCO","=""02/13/1992 00:00""","7.8","cfs","","","=""02/13/1992 23:00""",
"BOCBGRCO","=""02/14/1992 00:00""","7.65","cfs","","","=""02/14/1992 23:00""",
"BOCBGRCO","=""02/15/1992 00:00""","7.73","cfs","","","=""02/15/1992 23:00""",
"BOCBGRCO","=""02/16/1992 00:00""","7.8","cfs","","","=""02/16/1992 23:00""",
"BOCBGRCO","=""02/17/1992 00:00""","7.6","cfs","","","=""02/17/1992 23:00""",
"BOCBGRCO","=""02/18/1992 00:00""","7.7","cfs","","","=""02/18/1992 23:00""",
"BOCBGRCO","=""02/19/1992 00:00""","7.78","cfs","","","=""02/19/1992 23:00""",
"BOCBGRCO","=""02/20/1992 00:00""","7.78","cfs","","","=""02/20/1992 23:00""",
"BOCBGRCO","=""02/21/1992 00:00""","7.8","cfs","","Obs*","=""02/21/1992 23:00""",
"BOCBGRCO","=""02/22/1992 00:00""","7.8","cfs","","Obs*","=""02/22/1992 23:00""",
"BOCBGRCO","=""02/23/1992 00:00""","7.8","cfs","","~","=""02/23/1992 23:00""",
"BOCBGRCO","=""02/24/1992 00:00""","7.8","cfs","","Obs*","=""02/24/1992 23:00""",
"BOCBGRCO","=""02/25/1992 00:00""","7.8","cfs","","","=""02/25/1992 23:00""",
"BOCBGRCO","=""02/26/1992 00:00""","7.8","cfs","","Obs*","=""02/26/1992 23:00""",
"BOCBGRCO","=""02/27/1992 00:00""","7.8","cfs","","~","=""02/27/1992 23:00""",
"BOCBGRCO","=""02/28/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""02/29/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""03/01/1992 00:00""","7.8","cfs","","~","=""03/01/1992 23:00""",
"BOCBGRCO","=""03/02/1992 00:00""","7.8","cfs","","~","=""03/02/1992 23:00""",
"BOCBGRCO","=""03/03/1992 00:00""","7.8","cfs","","~","=""03/03/1992 23:00""",
"BOCBGRCO","=""03/04/1992 00:00""","8.18","cfs","","Obs*","=""03/04/1992 23:00""",
"BOCBGRCO","=""03/05/1992 00:00""","7.88","cfs","","","=""03/05/1992 23:00""",
"BOCBGRCO","=""03/06/1992 00:00""","13.2","cfs","","","=""03/06/1992 23:00""",
"BOCBGRCO","=""03/07/1992 00:00""","16.9","cfs","","","=""03/07/1992 23:00""",
"BOCBGRCO","=""03/08/1992 00:00""","17.2","cfs","","Obs*","=""03/08/1992 23:00""",
"BOCBGRCO","=""03/09/1992 00:00""","17.5","cfs","","Obs*","=""03/09/1992 23:00""",
"BOCBGRCO","=""03/10/1992 00:00""","16.9","cfs","","","=""03/10/1992 23:00""",
"BOCBGRCO","=""03/11/1992 00:00""","16.9","cfs","","Obs*","=""03/11/1992 23:00""",
"BOCBGRCO","=""03/12/1992 00:00""","16.9","cfs","","Obs*","=""03/12/1992 23:00""",
"BOCBGRCO","=""03/13/1992 00:00""","18.8","cfs","","","=""03/13/1992 23:00""",
"BOCBGRCO","=""03/14/1992 00:00""","20.3","cfs","","","=""03/14/1992 23:00""",
"BOCBGRCO","=""03/15/1992 00:00""","20.3","cfs","","","=""03/15/1992 23:00""",
"BOCBGRCO","=""03/16/1992 00:00""","20.1","cfs","","Obs*","=""03/16/1992 23:00""",
"BOCBGRCO","=""03/17/1992 00:00""","20.1","cfs","","~","=""03/17/1992 23:00""",
"BOCBGRCO","=""03/18/1992 00:00""","20.1","cfs","","~","=""03/18/1992 23:00""",
"BOCBGRCO","=""03/19/1992 00:00""","20.1","cfs","","Obs*","=""03/19/1992 23:00""",
"BOCBGRCO","=""03/20/1992 00:00""","20.1","cfs","","","=""03/20/1992 23:00""",
"BOCBGRCO","=""03/21/1992 00:00""","20.1","cfs","","~","=""03/21/1992 23:00""",
"BOCBGRCO","=""03/22/1992 00:00""","20.1","cfs","","~","=""03/22/1992 23:00""",
"BOCBGRCO","=""03/23/1992 00:00""","20.1","cfs","","~","=""03/23/1992 23:00""",
"BOCBGRCO","=""03/24/1992 00:00""","16.7","cfs","","Obs*","=""03/24/1992 23:00""",
"BOCBGRCO","=""03/25/1992 00:00""","23.4","cfs","","","=""03/25/1992 23:00""",
"BOCBGRCO","=""03/26/1992 00:00""","13.8","cfs","","","=""03/26/1992 23:00""",
"BOCBGRCO","=""03/27/1992 00:00""","13.8","cfs","","Obs*","=""03/27/1992 23:00""",
"BOCBGRCO","=""03/28/1992 00:00""","13.9","cfs","","Obs*","=""03/28/1992 23:00""",
"BOCBGRCO","=""03/29/1992 00:00""","13.8","cfs","","","=""03/29/1992 23:00""",
"BOCBGRCO","=""03/30/1992 00:00""","13.8","cfs","","Obs*","=""03/30/1992 23:00""",
"BOCBGRCO","=""03/31/1992 00:00""","13.8","cfs","","~","=""03/31/1992 23:00""",
"BOCBGRCO","=""04/01/1992 00:00""","23.8","cfs","","Obs*","=""04/01/1992 23:00""",
"BOCBGRCO","=""04/02/1992 00:00""","30.2","cfs","","Obs*","=""04/02/1992 23:00""",
"BOCBGRCO","=""04/03/1992 00:00""","36.1","cfs","","Obs*","=""04/03/1992 23:00""",
"BOCBGRCO","=""04/04/1992 00:00""","40.7","cfs","","","=""04/04/1992 23:00""",
"BOCBGRCO","=""04/05/1992 00:00""","40.7","cfs","","Obs*","=""04/05/1992 23:00""",
"BOCBGRCO","=""04/06/1992 00:00""","40.7","cfs","","Obs*","=""04/06/1992 23:00""",
"BOCBGRCO","=""04/07/1992 00:00""","52.3","cfs","","","=""04/07/1992 23:00""",
"BOCBGRCO","=""04/08/1992 00:00""","71.2","cfs","","","=""04/08/1992 23:00""",
"BOCBGRCO","=""04/09/1992 00:00""","78.1","cfs","","","=""04/09/1992 23:00""",
"BOCBGRCO","=""04/10/1992 00:00""","77.3","cfs","","","=""04/10/1992 23:00""",
"BOCBGRCO","=""04/11/1992 00:00""","77.2","cfs","","","=""04/11/1992 23:00""",
"BOCBGRCO","=""04/12/1992 00:00""","77.2","cfs","","Obs*","=""04/12/1992 23:00""",
"BOCBGRCO","=""04/13/1992 00:00""","88.1","cfs","","Obs*","=""04/13/1992 23:00""",
"BOCBGRCO","=""04/14/1992 00:00""","95.6","cfs","","","=""04/14/1992 23:00""",
"BOCBGRCO","=""04/15/1992 00:00""","156","cfs","","","=""04/15/1992 23:00""",
"BOCBGRCO","=""04/16/1992 00:00""","172","cfs","","","=""04/16/1992 23:00""",
"BOCBGRCO","=""04/17/1992 00:00""","178","cfs","","","=""04/17/1992 23:00""",
"BOCBGRCO","=""04/18/1992 00:00""","183","cfs","","","=""04/18/1992 23:00""",
"BOCBGRCO","=""04/19/1992 00:00""","183","cfs","","Obs*","=""04/19/1992 23:00""",
"BOCBGRCO","=""04/20/1992 00:00""","183","cfs","","~","=""04/20/1992 23:00""",
"BOCBGRCO","=""04/21/1992 00:00""","183","cfs","","Obs*","=""04/21/1992 23:00""",
"BOCBGRCO","=""04/22/1992 00:00""","183","cfs","","","=""04/22/1992 23:00""",
"BOCBGRCO","=""04/23/1992 00:00""","180","cfs","","","=""04/23/1992 23:00""",
"BOCBGRCO","=""04/24/1992 00:00""","179","cfs","","","=""04/24/1992 23:00""",
"BOCBGRCO","=""04/25/1992 00:00""","178","cfs","","","=""04/25/1992 23:00""",
"BOCBGRCO","=""04/26/1992 00:00""","178","cfs","","","=""04/26/1992 23:00""",
"BOCBGRCO","=""04/27/1992 00:00""","167","cfs","","","=""04/27/1992 23:00""",
"BOCBGRCO","=""04/28/1992 00:00""","159","cfs","","","=""04/28/1992 23:00""",
"BOCBGRCO","=""04/29/1992 00:00""","159","cfs","","","=""04/29/1992 23:00""",
"BOCBGRCO","=""04/30/1992 00:00""","160","cfs","","","=""04/30/1992 23:00""",
"BOCBGRCO","=""05/01/1992 00:00""","177","cfs","","","=""05/01/1992 23:00""",
"BOCBGRCO","=""05/02/1992 00:00""","189","cfs","","","=""05/02/1992 23:00""",
"BOCBGRCO","=""05/03/1992 00:00""","189","cfs","","Obs*","=""05/03/1992 23:00""",
"BOCBGRCO","=""05/04/1992 00:00""","189","cfs","","","=""05/04/1992 23:00""",
"BOCBGRCO","=""05/05/1992 00:00""","214","cfs","","","=""05/05/1992 23:00""",
"BOCBGRCO","=""05/06/1992 00:00""","230","cfs","","","=""05/06/1992 23:00""",
"BOCBGRCO","=""05/07/1992 00:00""","257","cfs","","","=""05/07/1992 23:00""",
"BOCBGRCO","=""05/08/1992 00:00""","314","cfs","","","=""05/08/1992 23:00""",
"BOCBGRCO","=""05/09/1992 00:00""","342","cfs","","","=""05/09/1992 23:00""",
"BOCBGRCO","=""05/10/1992 00:00""","342","cfs","","Obs*","=""05/10/1992 23:00""",
"BOCBGRCO","=""05/11/1992 00:00""","342","cfs","","Obs*","=""05/11/1992 23:00""",
"BOCBGRCO","=""05/12/1992 00:00""","342","cfs","","","=""05/12/1992 23:00""",
"BOCBGRCO","=""05/13/1992 00:00""","342","cfs","","","=""05/13/1992 23:00""",
"BOCBGRCO","=""05/14/1992 00:00""","345","cfs","","","=""05/14/1992 23:00""",
"BOCBGRCO","=""05/15/1992 00:00""","345","cfs","","","=""05/15/1992 23:00""",
"BOCBGRCO","=""05/16/1992 00:00""","345","cfs","","","=""05/16/1992 23:00""",
"BOCBGRCO","=""05/17/1992 00:00""","346","cfs","","","=""05/17/1992 23:00""",
"BOCBGRCO","=""05/18/1992 00:00""","347","cfs","","","=""05/18/1992 23:00""",
"BOCBGRCO","=""05/19/1992 00:00""","347","cfs","","","=""05/19/1992 23:00""",
"BOCBGRCO","=""05/20/1992 00:00""","352","cfs","","","=""05/20/1992 23:00""",
"BOCBGRCO","=""05/21/1992 00:00""","379","cfs","","","=""05/21/1992 23:00""",
"BOCBGRCO","=""05/22/1992 00:00""","438","cfs","","","=""05/22/1992 23:00""",
"BOCBGRCO","=""05/23/1992 00:00""","470","cfs","","","=""05/23/1992 23:00""",
"BOCBGRCO","=""05/24/1992 00:00""","472","cfs","","","=""05/24/1992 23:00""",
"BOCBGRCO","=""05/25/1992 00:00""","450","cfs","","","=""05/25/1992 23:00""",
"BOCBGRCO","=""05/26/1992 00:00""","414","cfs","","","=""05/26/1992 23:00""",
"BOCBGRCO","=""05/27/1992 00:00""","398","cfs","","","=""05/27/1992 23:00""",
"BOCBGRCO","=""05/28/1992 00:00""","392","cfs","","","=""05/28/1992 23:00""",
"BOCBGRCO","=""05/29/1992 00:00""","369","cfs","","","=""05/29/1992 23:00""",
"BOCBGRCO","=""05/30/1992 00:00""","389","cfs","","","=""05/30/1992 23:00""",
"BOCBGRCO","=""05/31/1992 00:00""","444","cfs","","","=""05/31/1992 23:00""",
"BOCBGRCO","=""06/01/1992 00:00""","451","cfs","","","=""06/01/1992 23:00""",
"BOCBGRCO","=""06/02/1992 00:00""","423","cfs","","","=""06/02/1992 23:00""",
"BOCBGRCO","=""06/03/1992 00:00""","412","cfs","","","=""06/03/1992 23:00""",
"BOCBGRCO","=""06/04/1992 00:00""","336","cfs","","","=""06/04/1992 23:00""",
"BOCBGRCO","=""06/05/1992 00:00""","290","cfs","","","=""06/05/1992 23:00""",
"BOCBGRCO","=""06/06/1992 00:00""","291","cfs","","","=""06/06/1992 23:00""",
"BOCBGRCO","=""06/07/1992 00:00""","291","cfs","","","=""06/07/1992 23:00""",
"BOCBGRCO","=""06/08/1992 00:00""","275","cfs","","","=""06/08/1992 23:00""",
"BOCBGRCO","=""06/09/1992 00:00""","300","cfs","","","=""06/09/1992 23:00""",
"BOCBGRCO","=""06/10/1992 00:00""","324","cfs","","","=""06/10/1992 23:00""",
"BOCBGRCO","=""06/11/1992 00:00""","326","cfs","","","=""06/11/1992 23:00""",
"BOCBGRCO","=""06/12/1992 00:00""","341","cfs","","","=""06/12/1992 23:00""",
"BOCBGRCO","=""06/13/1992 00:00""","358","cfs","","","=""06/13/1992 23:00""",
"BOCBGRCO","=""06/14/1992 00:00""","372","cfs","","","=""06/14/1992 23:00""",
"BOCBGRCO","=""06/15/1992 00:00""","365","cfs","","","=""06/15/1992 23:00""",
"BOCBGRCO","=""06/16/1992 00:00""","339","cfs","","","=""06/16/1992 23:00""",
"BOCBGRCO","=""06/17/1992 00:00""","316","cfs","","","=""06/17/1992 23:00""",
"BOCBGRCO","=""06/18/1992 00:00""","308","cfs","","","=""06/18/1992 23:00""",
"BOCBGRCO","=""06/19/1992 00:00""","295","cfs","","","=""06/19/1992 23:00""",
"BOCBGRCO","=""06/20/1992 00:00""","308","cfs","","","=""06/20/1992 23:00""",
"BOCBGRCO","=""06/21/1992 00:00""","325","cfs","","","=""06/21/1992 23:00""",
"BOCBGRCO","=""06/22/1992 00:00""","325","cfs","","","=""06/22/1992 23:00""",
"BOCBGRCO","=""06/23/1992 00:00""","333","cfs","","","=""06/23/1992 23:00""",
"BOCBGRCO","=""06/24/1992 00:00""","337","cfs","","","=""06/24/1992 23:00""",
"BOCBGRCO","=""06/25/1992 00:00""","370","cfs","","","=""06/25/1992 23:00""",
"BOCBGRCO","=""06/26/1992 00:00""","389","cfs","","","=""06/26/1992 23:00""",
"BOCBGRCO","=""06/27/1992 00:00""","369","cfs","","","=""06/27/1992 23:00""",
"BOCBGRCO","=""06/28/1992 00:00""","341","cfs","","","=""06/28/1992 23:00""",
"BOCBGRCO","=""06/29/1992 00:00""","330","cfs","","","=""06/29/1992 23:00""",
"BOCBGRCO","=""06/30/1992 00:00""","308","cfs","","","=""06/30/1992 23:00""",
"BOCBGRCO","=""07/01/1992 00:00""","272","cfs","","","=""07/01/1992 23:00""",
"BOCBGRCO","=""07/02/1992 00:00""","250","cfs","","","=""07/02/1992 23:00""",
"BOCBGRCO","=""07/03/1992 00:00""","245","cfs","","","=""07/03/1992 23:00""",
"BOCBGRCO","=""07/04/1992 00:00""","245","cfs","","","=""07/04/1992 23:00""",
"BOCBGRCO","=""07/05/1992 00:00""","229","cfs","","","=""07/05/1992 23:00""",
"BOCBGRCO","=""07/06/1992 00:00""","244","cfs","","","=""07/06/1992 23:00""",
"BOCBGRCO","=""07/07/1992 00:00""","260","cfs","","","=""07/07/1992 15:00""",
"BOCBGRCO","=""07/08/1992 00:00""","260","cfs","","","=""07/08/1992 23:00""",
"BOCBGRCO","=""07/09/1992 00:00""","260","cfs","","","=""07/09/1992 23:00""",
"BOCBGRCO","=""07/10/1992 00:00""","260","cfs","","","=""07/10/1992 23:00""",
"BOCBGRCO","=""07/11/1992 00:00""","260","cfs","","Obs*","=""07/11/1992 23:00""",
"BOCBGRCO","=""07/12/1992 00:00""","260","cfs","","~","=""07/12/1992 23:00""",
"BOCBGRCO","=""07/13/1992 00:00""","247","cfs","","Obs*","=""07/13/1992 23:00""",
"BOCBGRCO","=""07/14/1992 00:00""","221","cfs","","","=""07/14/1992 23:00""",
"BOCBGRCO","=""07/15/1992 00:00""","211","cfs","","","=""07/15/1992 15:00""",
"BOCBGRCO","=""07/16/1992 00:00""","211","cfs","","","=""07/16/1992 23:00""",
"BOCBGRCO","=""07/17/1992 00:00""","211","cfs","","Obs*","=""07/17/1992 23:00""",
"BOCBGRCO","=""07/18/1992 00:00""","211","cfs","","~","=""07/18/1992 23:00""",
"BOCBGRCO","=""07/19/1992 00:00""","219","cfs","","","=""07/19/1992 23:00""",
"BOCBGRCO","=""07/20/1992 00:00""","223","cfs","","","=""07/20/1992 23:00""",
"BOCBGRCO","=""07/21/1992 00:00""","223","cfs","","","=""07/21/1992 11:00""",
"BOCBGRCO","=""07/22/1992 00:00""","223","cfs","","","=""07/22/1992 23:00""",
"BOCBGRCO","=""07/23/1992 00:00""","223","cfs","","","=""07/23/1992 23:00""",
"BOCBGRCO","=""07/24/1992 00:00""","216","cfs","","","=""07/24/1992 23:00""",
"BOCBGRCO","=""07/25/1992 00:00""","211","cfs","","","=""07/25/1992 23:00""",
"BOCBGRCO","=""07/26/1992 00:00""","211","cfs","","Obs*","=""07/26/1992 23:00""",
"BOCBGRCO","=""07/27/1992 00:00""","177","cfs","","Obs*","=""07/27/1992 23:00""",
"BOCBGRCO","=""07/28/1992 00:00""","136","cfs","","","=""07/28/1992 23:00""",
"BOCBGRCO","=""07/29/1992 00:00""","125","cfs","","","=""07/29/1992 23:00""",
"BOCBGRCO","=""07/30/1992 00:00""","126","cfs","","","=""07/30/1992 23:00""",
"BOCBGRCO","=""07/31/1992 00:00""","126","cfs","","","=""07/31/1992 23:00""",
"BOCBGRCO","=""08/01/1992 00:00""","212","cfs","","","=""08/01/1992 23:00""",
"BOCBGRCO","=""08/02/1992 00:00""","262","cfs","","","=""08/02/1992 23:00""",
"BOCBGRCO","=""08/03/1992 00:00""","262","cfs","","","=""08/03/1992 23:00""",
"BOCBGRCO","=""08/04/1992 00:00""","239","cfs","","","=""08/04/1992 23:00""",
"BOCBGRCO","=""08/05/1992 00:00""","225","cfs","","","=""08/05/1992 23:00""",
"BOCBGRCO","=""08/06/1992 00:00""","225","cfs","","Obs*","=""08/06/1992 23:00""",
"BOCBGRCO","=""08/07/1992 00:00""","226","cfs","","~","=""08/07/1992 23:00""",
"BOCBGRCO","=""08/08/1992 00:00""","226","cfs","","~","=""08/08/1992 23:00""",
"BOCBGRCO","=""08/09/1992 00:00""","201","cfs","","Obs*","=""08/09/1992 23:00""",
"BOCBGRCO","=""08/10/1992 00:00""","157","cfs","","","=""08/10/1992 23:00""",
"BOCBGRCO","=""08/11/1992 00:00""","117","cfs","","","=""08/11/1992 23:00""",
"BOCBGRCO","=""08/12/1992 00:00""","102","cfs","","","=""08/12/1992 23:00""",
"BOCBGRCO","=""08/13/1992 00:00""","102","cfs","","Obs*","=""08/13/1992 23:00""",
"BOCBGRCO","=""08/14/1992 00:00""","102","cfs","","~","=""08/14/1992 23:00""",
"BOCBGRCO","=""08/15/1992 00:00""","102","cfs","","Obs*","=""08/15/1992 23:00""",
"BOCBGRCO","=""08/16/1992 00:00""","102","cfs","","","=""08/16/1992 23:00""",
"BOCBGRCO","=""08/17/1992 00:00""","102","cfs","","","=""08/17/1992 23:00""",
"BOCBGRCO","=""08/18/1992 00:00""","98.2","cfs","","","=""08/18/1992 23:00""",
"BOCBGRCO","=""08/19/1992 00:00""","96.3","cfs","","","=""08/19/1992 23:00""",
"BOCBGRCO","=""08/20/1992 00:00""","73.8","cfs","","","=""08/20/1992 23:00""",
"BOCBGRCO","=""08/21/1992 00:00""","45.2","cfs","","","=""08/21/1992 23:00""",
"BOCBGRCO","=""08/22/1992 00:00""","45.2","cfs","","","=""08/22/1992 23:00""",
"BOCBGRCO","=""08/23/1992 00:00""","45.3","cfs","","","=""08/23/1992 23:00""",
"BOCBGRCO","=""08/24/1992 00:00""","50.4","cfs","","","=""08/24/1992 23:00""",
"BOCBGRCO","=""08/25/1992 00:00""","59.3","cfs","","","=""08/25/1992 23:00""",
"BOCBGRCO","=""08/26/1992 00:00""","70.3","cfs","","","=""08/26/1992 23:00""",
"BOCBGRCO","=""08/27/1992 00:00""","74.3","cfs","","","=""08/27/1992 23:00""",
"BOCBGRCO","=""08/28/1992 00:00""","73.8","cfs","","","=""08/28/1992 23:00""",
"BOCBGRCO","=""08/29/1992 00:00""","74.4","cfs","","","=""08/29/1992 23:00""",
"BOCBGRCO","=""08/30/1992 00:00""","74.4","cfs","","Obs*","=""08/30/1992 23:00""",
"BOCBGRCO","=""08/31/1992 00:00""","55.4","cfs","","Obs*","=""08/31/1992 23:00""",
"BOCBGRCO","=""09/01/1992 00:00""","42.9","cfs","","","=""09/01/1992 23:00""",
"BOCBGRCO","=""09/02/1992 00:00""","42.9","cfs","","","=""09/02/1992 23:00""",
"BOCBGRCO","=""09/03/1992 00:00""","42.9","cfs","","","=""09/03/1992 23:00""",
"BOCBGRCO","=""09/04/1992 00:00""","42.9","cfs","","","=""09/04/1992 23:00""",
"BOCBGRCO","=""09/05/1992 00:00""","42.9","cfs","","","=""09/05/1992 23:00""",
"BOCBGRCO","=""09/06/1992 00:00""","42.9","cfs","","Obs*","=""09/06/1992 23:00""",
"BOCBGRCO","=""09/07/1992 00:00""","42.9","cfs","","Obs*","=""09/07/1992 23:00""",
"BOCBGRCO","=""09/08/1992 00:00""","48.4","cfs","","","=""09/08/1992 23:00""",
"BOCBGRCO","=""09/09/1992 00:00""","52.3","cfs","","","=""09/09/1992 23:00""",
"BOCBGRCO","=""09/10/1992 00:00""","52.3","cfs","","Obs*","=""09/10/1992 23:00""",
"BOCBGRCO","=""09/11/1992 00:00""","52.3","cfs","","~","=""09/11/1992 23:00""",
"BOCBGRCO","=""09/12/1992 00:00""","52.2","cfs","","Obs*","=""09/12/1992 23:00""",
"BOCBGRCO","=""09/13/1992 00:00""","52.3","cfs","","","=""09/13/1992 23:00""",
"BOCBGRCO","=""09/14/1992 00:00""","52.3","cfs","","","=""09/14/1992 23:00""",
"BOCBGRCO","=""09/15/1992 00:00""","34.9","cfs","","","=""09/15/1992 23:00""",
"BOCBGRCO","=""09/16/1992 00:00""","22.7","cfs","","","=""09/16/1992 23:00""",
"BOCBGRCO","=""09/17/1992 00:00""","22.7","cfs","","Obs*","=""09/17/1992 23:00""",
"BOCBGRCO","=""09/18/1992 00:00""","22.7","cfs","","~","=""09/18/1992 19:00""",
"BOCBGRCO","=""09/19/1992 00:00""","22.7","cfs","","~","=""09/19/1992 19:00""",
"BOCBGRCO","=""09/20/1992 00:00""","22.7","cfs","","~","=""09/20/1992 19:00""",
"BOCBGRCO","=""09/21/1992 00:00""","22.7","cfs","","","=""09/21/1992 23:00""",
"BOCBGRCO","=""09/22/1992 00:00""","22.7","cfs","","","=""09/22/1992 23:00""",
"BOCBGRCO","=""09/23/1992 00:00""","18.6","cfs","","Obs*","=""09/23/1992 23:00""",
"BOCBGRCO","=""09/24/1992 00:00""","14.4","cfs","","","=""09/24/1992 23:00""",
"BOCBGRCO","=""09/25/1992 00:00""","14.4","cfs","","","=""09/25/1992 23:00""",
"BOCBGRCO","=""09/26/1992 00:00""","14.5","cfs","","Obs*","=""09/26/1992 23:00""",
"BOCBGRCO","=""09/27/1992 00:00""","14.5","cfs","","~","=""09/27/1992 23:00""",
"BOCBGRCO","=""09/28/1992 00:00""","20.7","cfs","","Obs*","=""09/28/1992 23:00""",
"BOCBGRCO","=""09/29/1992 00:00""","21.7","cfs","","","=""09/29/1992 23:00""",
"BOCBGRCO","=""09/30/1992 00:00""","30.9","cfs","","","=""09/30/1992 23:00""",
"BOCBGRCO","=""10/01/1992 00:00""","93.1","cfs","","","=""10/01/1992 23:00""",
"BOCBGRCO","=""10/02/1992 00:00""","93.2","cfs","","","=""10/02/1992 23:00""",
"BOCBGRCO","=""10/03/1992 00:00""","93.1","cfs","","Obs*","=""10/03/1992 23:00""",
"BOCBGRCO","=""10/04/1992 00:00""","93.2","cfs","","Obs*","=""10/04/1992 23:00""",
"BOCBGRCO","=""10/05/1992 00:00""","93.2","cfs","","","=""10/05/1992 11:00""",
"BOCBGRCO","=""10/06/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/07/1992 00:00""","117","cfs","","","=""10/07/1992 23:00""",
"BOCBGRCO","=""10/08/1992 00:00""","136","cfs","","","=""10/08/1992 23:00""",
"BOCBGRCO","=""10/09/1992 00:00""","160","cfs","","","=""10/09/1992 23:00""",
"BOCBGRCO","=""10/10/1992 00:00""","187","cfs","","","=""10/10/1992 23:00""",
"BOCBGRCO","=""10/11/1992 00:00""","31.2","cfs","","Obs*","=""10/11/1992 23:00""",
"BOCBGRCO","=""10/12/1992 00:00""","31.2","cfs","","","=""10/12/1992 23:00""",
"BOCBGRCO","=""10/13/1992 00:00""","31.2","cfs","","Obs*","=""10/13/1992 23:00""",
"BOCBGRCO","=""10/14/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/15/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/16/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/17/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/18/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/19/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/20/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/21/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/22/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/23/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/24/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/25/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/26/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/27/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/28/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/29/1992 00:00""","","cfs","","","",
"BOCBGRCO","=""10/30/1992 00:00""","31.9","cfs","","Obs*","=""10/30/1992 23:00""",
"BOCBGRCO","=""10/31/1992 00:00""","32.2","cfs","","","=""10/31/1992 23:00""",
"BOCBGRCO","=""11/01/1992 00:00""","32.2","cfs","","~","=""11/01/1992 23:00""",
"BOCBGRCO","=""11/02/1992 00:00""","38.9","cfs","","Obs*","=""11/02/1992 23:00""",
"BOCBGRCO","=""11/03/1992 00:00""","38.7","cfs","","","=""11/03/1992 23:00""",
"BOCBGRCO","=""11/04/1992 00:00""","37","cfs","","","=""11/04/1992 23:00""",
"BOCBGRCO","=""11/05/1992 00:00""","36.8","cfs","","","=""11/05/1992 23:00""",
"BOCBGRCO","=""11/06/1992 00:00""","37.4","cfs","","","=""11/06/1992 23:00""",
"BOCBGRCO","=""11/07/1992 00:00""","37.4","cfs","","","=""11/07/1992 23:00""",
"BOCBGRCO","=""11/08/1992 00:00""","37.4","cfs","","Obs*","=""11/08/1992 23:00""",
"BOCBGRCO","=""11/09/1992 00:00""","37.4","cfs","","~","=""11/09/1992 23:00""",
"BOCBGRCO","=""11/10/1992 00:00""","49.7","cfs","","Obs*","=""11/10/1992 23:00""",
"BOCBGRCO","=""11/11/1992 00:00""","58.5","cfs","","","=""11/11/1992 23:00""",
"BOCBGRCO","=""11/12/1992 00:00""","58.5","cfs","","","=""11/12/1992 23:00""",
"BOCBGRCO","=""11/13/1992 00:00""","74.6","cfs","","","=""11/13/1992 23:00""",
"BOCBGRCO","=""11/14/1992 00:00""","101","cfs","","","=""11/14/1992 23:00""",
"BOCBGRCO","=""11/15/1992 00:00""","112","cfs","","","=""11/15/1992 23:00""",
"BOCBGRCO","=""11/16/1992 00:00""","112","cfs","","","=""11/16/1992 23:00""",
"BOCBGRCO","=""11/17/1992 00:00""","112","cfs","","","=""11/17/1992 23:00""",
"BOCBGRCO","=""11/18/1992 00:00""","111","cfs","","","=""11/18/1992 23:00""",
"BOCBGRCO","=""11/19/1992 00:00""","125","cfs","","","=""11/19/1992 23:00""",
"BOCBGRCO","=""11/20/1992 00:00""","135","cfs","","","=""11/20/1992 23:00""",
"BOCBGRCO","=""11/21/1992 00:00""","135","cfs","","Obs*","=""11/21/1992 23:00""",
"BOCBGRCO","=""11/22/1992 00:00""","135","cfs","","Obs*","=""11/22/1992 23:00""",
"BOCBGRCO","=""11/23/1992 00:00""","135","cfs","","","=""11/23/1992 23:00""",
"BOCBGRCO","=""11/24/1992 00:00""","135","cfs","","","=""11/24/1992 23:00""",
